time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	55.600000
8	55.600000
9	64.850000
10	74.100000
11	83.350000
12	92.600000
13	118.050000
14	143.500000
15	200.600000
16	271.583333
17	342.566667
18	413.550000
19	480.683333
20	547.816667
21	574.050000
22	586.400000
23	598.750000
24	611.100000
25	611.100000
26	640.416667
27	669.733333
28	699.050000
29	728.366667
30	757.683333
31	787.000000
32	787.000000
33	787.000000
34	787.000000
35	787.000000
36	787.000000
37	787.000000
38	787.000000
39	787.000000
40	787.000000
41	787.000000
42	787.000000
43	787.000000
44	787.000000
45	787.000000
46	787.000000
47	787.000000
48	787.000000
49	787.000000
50	787.000000
51	787.000000
52	787.000000
53	787.000000
54	787.000000
55	787.000000
56	787.000000
57	787.000000
58	787.000000
59	787.000000
60	787.000000
61	787.000000
62	787.000000
63	787.000000
64	787.000000
65	787.000000
66	787.000000
67	787.000000
68	787.000000
69	787.000000
70	787.000000
71	787.000000
72	787.000000
73	787.000000
74	787.000000
75	774.666667
76	762.333333
77	750.000000
78	737.666667
79	725.333333
80	713.000000
81	713.000000
82	713.000000
83	713.000000
84	713.000000
85	713.000000
86	713.000000
87	713.000000
88	713.000000
89	713.000000
90	713.000000
91	713.000000
92	713.000000
93	713.000000
94	713.000000
95	713.000000
96	699.100000
97	685.200000
98	671.300000
99	657.400000
100	643.500000
101	629.600000
102	629.600000
103	629.600000
104	629.600000
105	629.600000
106	629.600000
107	629.600000
108	629.600000
109	629.600000
110	623.433333
111	617.266667
112	611.100000
113	604.933333
114	598.766667
115	592.600000
116	592.600000
117	592.600000
118	592.600000
119	592.600000
120	592.600000
121	592.600000
122	592.600000
123	592.600000
124	592.600000
125	592.600000
126	560.183333
127	527.766667
128	495.350000
129	462.933333
130	430.516667
131	398.100000
132	398.100000
133	398.100000
134	398.100000
135	398.100000
136	398.100000
137	398.100000
138	398.100000
139	398.100000
140	398.100000
141	398.100000
142	398.100000
143	398.100000
144	398.100000
145	398.100000
146	398.100000
147	398.100000
148	398.100000
149	398.100000
150	398.100000
151	398.100000
152	398.100000
153	398.100000
154	398.100000
155	398.100000
156	398.100000
157	398.100000
158	398.100000
159	398.100000
160	398.100000
161	398.100000
162	398.100000
163	398.100000
164	398.100000
165	398.100000
166	398.100000
167	398.100000
168	398.100000
169	398.100000
170	398.100000
171	398.100000
172	398.100000
173	398.100000
174	416.633333
175	435.166667
176	453.700000
177	472.233333
178	490.766667
179	509.300000
180	509.300000
181	509.300000
182	509.300000
183	509.300000
184	509.300000
185	509.300000
186	509.300000
187	509.300000
188	509.300000
189	509.300000
190	509.300000
191	509.300000
192	509.300000
193	509.300000
194	509.300000
195	509.300000
196	509.300000
197	509.300000
198	509.300000
199	509.300000
200	509.300000
