time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	55.600000
8	55.600000
9	64.850000
10	74.100000
11	83.350000
12	92.600000
13	118.050000
14	143.500000
15	200.600000
16	271.583333
17	342.566667
18	413.550000
19	480.683333
20	547.816667
21	574.050000
22	586.400000
23	598.750000
24	611.100000
25	611.100000
26	640.416667
27	669.733333
28	699.050000
29	728.366667
30	757.683333
31	787.000000
32	787.000000
33	787.000000
34	787.000000
35	787.000000
36	787.000000
37	787.000000
38	787.000000
39	787.000000
40	787.000000
41	787.000000
42	787.000000
43	787.000000
44	787.000000
45	787.000000
46	787.000000
47	787.000000
48	787.000000
49	787.000000
50	787.000000
51	787.000000
52	787.000000
53	787.000000
54	787.000000
55	787.000000
56	787.000000
57	787.000000
58	787.000000
59	787.000000
60	787.000000
61	787.000000
62	787.000000
63	787.000000
64	787.000000
65	787.000000
66	787.000000
67	787.000000
68	787.000000
69	787.000000
70	787.000000
71	787.000000
72	787.000000
73	787.000000
74	787.000000
75	774.666667
76	762.333333
77	750.000000
78	737.666667
79	725.333333
80	713.000000
81	713.000000
82	713.000000
83	713.000000
84	713.000000
85	713.000000
86	713.000000
87	713.000000
88	713.000000
89	713.000000
90	713.000000
91	713.000000
92	713.000000
93	713.000000
94	713.000000
95	713.000000
96	699.100000
97	685.200000
98	671.300000
99	657.400000
100	643.500000
101	629.600000
102	629.600000
103	629.600000
104	629.600000
105	629.600000
106	629.600000
107	629.600000
108	629.600000
109	629.600000
110	623.433333
111	617.266667
112	611.100000
113	604.933333
114	598.766667
115	592.600000
116	592.600000
117	592.600000
118	592.600000
119	592.600000
120	592.600000
121	592.600000
122	592.600000
123	592.600000
124	592.600000
125	592.600000
126	560.183333
127	527.766667
128	495.350000
129	462.933333
130	430.516667
131	398.100000
132	398.100000
133	398.100000
134	398.100000
135	398.100000
136	398.100000
137	398.100000
138	398.100000
139	398.100000
140	398.100000
141	398.100000
142	398.100000
143	398.100000
144	398.100000
145	398.100000
146	398.100000
147	398.100000
148	398.100000
149	398.100000
150	398.100000
151	398.100000
152	398.100000
153	398.100000
154	398.100000
155	398.100000
156	398.100000
157	398.100000
158	398.100000
159	398.100000
160	398.100000
161	398.100000
162	398.100000
163	398.100000
164	398.100000
165	398.100000
166	398.100000
167	398.100000
168	398.100000
169	398.100000
170	398.100000
171	398.100000
172	398.100000
173	398.100000
174	416.633333
175	435.166667
176	453.700000
177	472.233333
178	490.766667
179	509.300000
180	509.300000
181	509.300000
182	509.300000
183	509.300000
184	509.300000
185	509.300000
186	509.300000
187	509.300000
188	509.300000
189	509.300000
190	509.300000
191	509.300000
192	509.300000
193	509.300000
194	509.300000
195	509.300000
196	509.300000
197	509.300000
198	509.300000
199	509.300000
200	509.300000
201	509.300000
202	509.300000
203	509.300000
204	509.300000
205	509.300000
206	509.300000
207	504.666667
208	500.033333
209	495.400000
210	490.766667
211	486.133333
212	481.500000
213	481.500000
214	481.500000
215	481.500000
216	504.650000
217	527.800000
218	550.950000
219	574.100000
220	597.250000
221	620.400000
222	620.400000
223	620.400000
224	620.400000
225	620.400000
226	620.400000
227	620.400000
228	620.400000
229	620.400000
230	620.400000
231	620.400000
232	620.400000
233	620.400000
234	620.400000
235	620.400000
236	620.400000
237	620.400000
238	620.400000
239	620.400000
240	620.400000
241	620.400000
242	620.400000
243	620.400000
244	620.400000
245	620.400000
246	620.400000
247	620.400000
248	620.400000
249	620.400000
250	620.400000
251	620.400000
252	626.566667
253	632.733333
254	638.900000
255	645.066667
256	651.233333
257	657.400000
258	657.400000
259	657.400000
260	657.400000
261	657.400000
262	657.400000
263	657.400000
264	657.400000
265	657.400000
266	657.400000
267	657.400000
268	657.400000
269	657.400000
270	641.966667
271	626.533333
272	611.100000
273	595.666667
274	580.233333
275	564.800000
276	564.800000
277	564.800000
278	564.800000
279	564.800000
280	564.800000
281	564.800000
282	564.800000
283	564.800000
284	564.800000
285	564.800000
286	564.800000
287	564.800000
288	564.800000
289	564.800000
290	564.800000
291	564.800000
292	564.800000
293	589.500000
294	626.533333
295	663.566667
296	700.600000
297	737.633333
298	774.666667
299	787.000000
300	787.000000
301	787.000000
302	787.000000
303	787.000000
304	787.000000
305	787.000000
306	787.000000
307	787.000000
308	787.000000
309	787.000000
310	787.000000
311	787.000000
312	787.000000
313	787.000000
314	787.000000
315	787.000000
316	787.000000
317	787.000000
318	787.000000
319	787.000000
320	787.000000
321	787.000000
322	787.000000
323	787.000000
324	787.000000
325	787.000000
326	787.000000
327	787.000000
328	787.000000
329	787.000000
330	787.000000
331	787.000000
332	793.183333
333	799.366667
334	805.550000
335	811.733333
336	817.916667
337	824.100000
338	824.100000
