time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	194.400000
8	194.400000
9	194.400000
10	194.400000
11	194.400000
12	194.400000
13	194.400000
14	194.400000
15	194.400000
16	223.733333
17	253.066667
18	282.400000
19	311.733333
20	381.183333
21	450.633333
22	503.100000
23	555.566667
24	608.033333
25	660.500000
26	672.850000
27	685.200000
28	685.200000
29	685.200000
30	685.200000
31	689.833333
32	694.466667
33	699.100000
34	703.733333
35	708.366667
36	713.000000
37	713.000000
38	713.000000
39	713.000000
40	713.000000
41	713.000000
42	713.000000
43	713.000000
44	713.000000
45	713.000000
46	713.000000
47	713.000000
48	713.000000
49	708.366667
50	703.733333
51	699.100000
52	694.466667
53	689.833333
54	685.200000
55	685.200000
56	685.200000
57	685.200000
58	685.200000
59	685.200000
60	685.200000
61	685.200000
62	685.200000
63	685.200000
64	685.200000
65	685.200000
66	685.200000
67	685.200000
68	685.200000
69	685.200000
70	685.200000
71	685.200000
72	685.200000
73	685.200000
74	685.200000
75	685.200000
76	685.200000
77	685.200000
78	685.200000
79	674.400000
80	663.600000
81	652.800000
82	642.000000
83	631.200000
84	620.400000
85	620.400000
86	620.400000
87	620.400000
88	620.400000
89	620.400000
90	620.400000
91	620.400000
92	620.400000
93	620.400000
94	611.133333
95	601.866667
96	592.600000
97	563.266667
98	533.933333
99	504.600000
100	484.533333
101	464.466667
102	444.400000
103	444.400000
104	444.400000
105	444.400000
106	444.400000
107	444.400000
108	444.400000
109	444.400000
110	444.400000
111	428.983333
112	413.566667
113	398.150000
114	382.733333
115	367.316667
116	351.900000
117	351.900000
118	351.900000
119	351.900000
120	351.900000
121	351.900000
122	351.900000
123	351.900000
124	351.900000
125	351.900000
126	351.900000
127	351.900000
128	351.900000
129	351.900000
130	351.900000
131	351.900000
132	351.900000
133	351.900000
134	351.900000
135	361.150000
136	370.400000
137	379.650000
138	388.900000
139	398.150000
140	407.400000
141	407.400000
142	407.400000
143	398.150000
144	388.900000
145	379.650000
146	370.400000
147	361.150000
148	351.900000
149	351.900000
150	351.900000
151	351.900000
152	351.900000
153	351.900000
154	351.900000
155	351.900000
156	351.900000
157	351.900000
158	351.900000
159	351.900000
160	351.900000
161	351.900000
162	351.900000
163	351.900000
164	351.900000
165	351.900000
166	351.900000
167	351.900000
168	351.900000
169	351.900000
170	351.900000
171	347.266667
172	342.633333
173	338.000000
174	333.366667
175	328.733333
176	324.100000
177	324.100000
178	324.100000
179	324.100000
180	324.100000
181	324.100000
182	324.100000
183	324.100000
184	324.100000
185	324.100000
186	324.100000
187	324.100000
188	324.100000
189	324.100000
190	324.100000
191	324.100000
192	324.100000
193	324.100000
194	324.100000
195	324.100000
196	324.100000
197	324.100000
198	324.100000
199	324.100000
200	324.100000
