stratum,risk_exposed,risk_unexposed,rr,deaths_exposed,deaths_unexposed,small_cell
20-39,0.004594391522955632,0.0014513112575553217,3.1656831014283653,1.0,10.0,True
40-59,0.018909620788220845,0.007948404166102948,2.379046207648008,24.0,49.0,True
60-74,0.03591965552639274,0.03411901951286552,1.0527751394745748,64.0,110.0,False
75+,0.19155960028785882,0.13680883246304154,1.4001990722317437,209.0,197.0,False
crude,0.06284082331477774,0.014945520584082238,4.204659380129355,298.0,366.0,
age_standardized,0.029225456710882197,0.019385127674530885,1.507622606441742,,,
