analysis,exposure,outcome,measure,estimate,ci_lower,ci_upper,source
full_cohort_adjusted,acetaminophen ever-use in pregnancy,autism,HR,1.05,1.02,1.08,"Ahlqvist et al. JAMA 2024;331(14):1205-1214 (PMC11004836), Results"
sibling_control,acetaminophen ever-use in pregnancy,autism,HR,0.98,0.93,1.04,"Ahlqvist et al. JAMA 2024;331(14):1205-1214 (PMC11004836), Results"
