group,n_children,autism_cum_incidence_10yr_pct,source
exposed,185909,1.53,"Ahlqvist et al. JAMA 2024;331(14):1205-1214 (PMC11004836), Results"
unexposed,2294888,1.33,"Ahlqvist et al. JAMA 2024;331(14):1205-1214 (PMC11004836), Results"
