# camdl survey landscape; run_hash=aaa9fba3b601ba88e5ca4041c3224122b985842b1ebcbdab55e715c4a0cdebf2; version=0.1.0+578d682
# eval=simulate; n_points=400
beta	z_lat	d_inf	delta	e0	loglik	loglik_se	n_replicates	point_id	loglik_type
0.25191055717182104	9.32802800128838	7.933571844595313	0.3239983023033049	0.946223772878835	-17.851222029312037	0	1	70	marginal
0.24012278428360068	8.482426590411132	8.262344068996807	0.360999851967952	0.7004530182321753	-17.857673658938726	0	1	94	marginal
0.24258043356610465	8.30690319407932	7.346061199166064	0.34356272360704787	0.5482973804000463	-17.864611683039268	0	1	41	marginal
0.2727618221202978	10.965327281809088	8.83820250303164	0.3664452454917837	0.9221654632309615	-17.86472633195737	0	1	53	marginal
0.21144258620637127	7.849940727730861	9.725522375606674	0.4406177445993271	0.7433158923562013	-17.872363863657565	0	1	272	marginal
0.2179794947901797	9.989416275848264	12.110020974861293	0.31015760511152374	0.9331336348693667	-17.87577612398419	0	1	36	marginal
0.24457525307001352	10.717280424824832	10.682612888361964	0.4633953699161544	1.3276450256875396	-17.876227754080457	0	1	327	marginal
0.2806392843549452	11.925744240653158	8.515937106808483	0.36299251961562906	1.2344226942623233	-17.87982550379643	0	1	171	marginal
0.20847267758860888	7.027812991141854	8.509282629221023	0.4189912311526317	1.4098266211828658	-17.880525611237182	0	1	80	marginal
0.19513645426320772	8.512628192318466	12.844520021397393	0.4881410056646206	0.646842934622146	-17.88414154350776	0	1	397	marginal
0.19029961188416733	9.343401573776198	13.305641578568947	0.3202893607931859	1.4597131373147507	-17.889798087919935	0	1	226	marginal
0.27481674878696566	9.180948687950512	7.639785427812288	0.376801016713836	1.3841522339904007	-17.89299100255206	0	1	328	marginal
0.17709235486838454	7.512805306430444	11.74157211394909	0.45864738489065254	0.680890702764112	-17.894859403817076	0	1	262	marginal
0.22435542379545273	7.763150315146783	9.069203580754975	0.35109316084410086	1.0239648143889242	-17.896403524095224	0	1	74	marginal
0.29538921310309935	9.519053634080537	7.102816318306016	0.40427057483610396	1.1775881484584514	-17.901084456022247	0	1	111	marginal
0.226321850920425	11.30564095168212	11.880052282508146	0.46692779007640023	1.1122705068237502	-17.90287050306598	0	1	286	marginal
0.2690819654666305	10.60630445254375	9.478368118532332	0.4025580571080258	1.2461229196420873	-17.909291381674084	0	1	127	marginal
0.28249894632872113	10.579624983826015	8.679560648038827	0.46130190308066	1.3476999324402128	-17.911121799199215	0	1	228	marginal
0.2089890536103663	6.049009608028948	7.7861715377839715	0.48559588196696907	0.9992022897085888	-17.912851529493892	0	1	116	marginal
0.15319060337330848	6.385976774840406	13.871602952029775	0.42191180314804433	1.343460891320956	-17.915600179710502	0	1	163	marginal
0.176025461126744	6.3029376688301095	10.009895126700387	0.37370519757600273	1.3158663599841263	-17.92338278580594	0	1	215	marginal
0.2024897604423348	9.002621928829972	10.113889134527406	0.3693061108858719	0.7466902924445527	-17.9247791679217	0	1	261	marginal
0.1937142627597419	7.41591393048456	9.177424907129446	0.4018785626961418	0.8944927771339694	-17.92585730362584	0	1	28	marginal
0.2188641391718453	11.579257997527634	12.166073187841775	0.4213235040562971	1.2184508302430321	-17.951166963040432	0	1	217	marginal
0.24828253081515275	9.871643359449074	10.660901698463588	0.4754409135156348	0.7810178724499146	-17.961085034288427	0	1	267	marginal
0.21605358920060477	6.737153667695686	9.165698795789723	0.47182269376650576	0.8493130538577679	-17.998286607155617	0	1	18	marginal
