noise,regime,treatment,n_true,auc,true_jw_mean,true_pct_exact,true_pct_ge_.92,nonmatch_jw_mean,nonmatch_pct_ge_.92,nonmatch_pct_ge_.7
default,consistent,none,29594,0.9995648081399341,0.9978811208556648,0.969453267554234,0.9911806447252821,0.5011479066166352,0.0009000900090009,0.01456145614561456
default,consistent,abbreviate,29594,0.9995399617680224,0.9977168101023824,0.969453267554234,0.990302088261134,0.4985846565284874,0.0009000900090009,0.01574157415741574
default,consistent,expand,29594,0.9995454745853041,0.9977481743947043,0.969453267554234,0.9894235317969858,0.5215200509260268,0.00106010601060106,0.031043104310431044
default,split,none,29594,0.9991298232668369,0.9581749993870105,0.14671892951273907,0.9580996147867811,0.49926834605242204,0.0013201584190102812,0.009141096931631796
default,split,abbreviate,29594,0.999302725680329,0.9977168101023824,0.969453267554234,0.990302088261134,0.49856391492064045,0.001380165619874385,0.016762011441372966
default,split,expand,29594,0.9993084471211088,0.9977481743947043,0.969453267554234,0.9894235317969858,0.5218282961381618,0.0014601752210265232,0.03108373004760571
elevated,consistent,none,29594,0.9993278220011682,0.9899645537583378,0.8592282219368791,0.9571872676893965,0.5006168025188538,0.0012400496019840794,0.014840593623744949
elevated,consistent,abbreviate,29594,0.9992477478378718,0.9890725327962108,0.8592282219368791,0.9521862539703994,0.49763358243456834,0.001280051202048082,0.01596063842553702
elevated,consistent,expand,29594,0.9991619239683421,0.9890830907095783,0.8592282219368791,0.9495167939447186,0.5201554674080563,0.0013200528021120844,0.02988119524780991
elevated,split,none,29594,0.9991391170818827,0.9507204328089102,0.13006014732716092,0.8959924308981551,0.49918711619627465,0.001000040001600064,0.009380375215008601
elevated,split,abbreviate,29594,0.9993140564981929,0.9890725327962108,0.8592282219368791,0.9521862539703994,0.4980839265992552,0.001080043201728069,0.015440617624704988
elevated,split,expand,29594,0.9992321700707455,0.9890830907095783,0.8592282219368791,0.9495167939447186,0.5200381712046839,0.0012400496019840794,0.02906116244649786
