comparator,model,noise,regime,treatment,rep,n_true_pairs,n_scored,avg_precision,best_f1,best_f1_precision,best_f1_recall
jw_no_tf,full,elevated,split,none,0,10070,27594,0.9903523724718666,0.9763231197771588,0.9780745465417581,0.9745779543197617
jw_no_tf,full,elevated,split,none,1,10056,27464,0.9909094235398572,0.9760779827920625,0.9763207641030743,0.975835322195704
jw_no_tf,full,elevated,split,none,2,10046,27515,0.990940775975653,0.9767812655705034,0.977853152434158,0.9757117260601235
jw_no_tf,full,elevated,split,abbreviate,0,10070,27557,0.9906721767954597,0.9775225269828697,0.9747235387045814,0.9803376365441907
jw_no_tf,full,elevated,split,abbreviate,1,10056,27470,0.9914957292548492,0.9771349040660106,0.9768435698668256,0.9774264120922832
jw_no_tf,full,elevated,split,abbreviate,2,10046,27567,0.9912534652490504,0.9771584971385917,0.9770126380734402,0.977304399761099
jw_no_tf,full,elevated,split,expand,0,10070,27542,0.99061881936527,0.9772783525568042,0.9743361958345672,0.9802383316782523
jw_no_tf,full,elevated,split,expand,1,10056,27434,0.991131707845271,0.9765150761269777,0.9771957777335192,0.975835322195704
jw_no_tf,full,elevated,split,expand,2,10046,27540,0.9911548751969985,0.9770292490906374,0.9781502544148458,0.9759108102727454
jw_no_tf,address_heavy,elevated,split,none,0,10070,27447,0.9517764466705536,0.9216692486444618,0.8992064991498205,0.9452830188679245
jw_no_tf,address_heavy,elevated,split,none,1,10056,27344,0.9526008774803838,0.9253556811537712,0.9071455865494842,0.9443118536197295
jw_no_tf,address_heavy,elevated,split,none,2,10046,27436,0.9523142378449272,0.9205702647657842,0.8975037821482602,0.9448536731037229
jw_no_tf,address_heavy,elevated,split,abbreviate,0,10070,27514,0.9557534024131187,0.9250335956997503,0.8951328255619543,0.9570009930486594
jw_no_tf,address_heavy,elevated,split,abbreviate,1,10056,27436,0.9564614414218853,0.9300864859641494,0.9045202518560286,0.9571400159108989
jw_no_tf,address_heavy,elevated,split,abbreviate,2,10046,27539,0.9552984037000731,0.9240536770718099,0.8939972080037226,0.9562014732231734
jw_no_tf,address_heavy,elevated,split,expand,0,10070,27532,0.9549692200734288,0.9245029295936991,0.8951822916666666,0.9558093346573983
jw_no_tf,address_heavy,elevated,split,expand,1,10056,27424,0.9549218700065895,0.928916827852998,0.9040850903614458,0.955151153540175
jw_no_tf,address_heavy,elevated,split,expand,2,10046,27544,0.9540914489560414,0.9237508423991527,0.8943885160328113,0.9551065100537527
lev_abs,full,elevated,split,none,0,10070,27161,0.9868134417587355,0.9613137215393915,0.9754651400531589,0.9475670307845084
lev_abs,full,elevated,split,none,1,10056,27147,0.9866852212587168,0.9610402452289133,0.9556538839724681,0.9664876690533015
lev_abs,full,elevated,split,none,2,10046,27080,0.9865871930464987,0.9609810479375698,0.9787365813377374,0.9438582520406131
lev_abs,full,elevated,split,abbreviate,0,10070,27578,0.9891959730878455,0.9742183214481623,0.9784633877591906,0.9700099304865939
