metric,noise,regime,treatment,auc,true_mean,nonmatch_mean
levenshtein_norm,elevated,split,expand,0.9992420423991387,0.9777583078955162,0.1942550752067339
damerau_lev_norm,elevated,split,expand,0.9992395559848886,0.9777719159487606,0.19560167203383386
jaro_winkler,elevated,mixed,none,0.9991718412285445,0.9699101730542129,0.5043803243631958
jaro,elevated,mixed,none,0.9991373020729001,0.9548839662751332,0.5041895317180868
levenshtein_norm,elevated,mixed,none,0.9991746896688952,0.8880421146614677,0.17696974786628006
damerau_lev_norm,elevated,mixed,none,0.999171612447655,0.8880565272535987,0.17903600285572766
jaro_winkler,elevated,mixed,abbreviate,0.9992402676663684,0.9890725327962108,0.4977520300950218
jaro,elevated,mixed,abbreviate,0.9992366007514026,0.9856022509582427,0.4975744130832546
levenshtein_norm,elevated,mixed,abbreviate,0.9993525554896997,0.9766274132654487,0.18060014923306758
damerau_lev_norm,elevated,mixed,abbreviate,0.9993508918437338,0.9766430708299337,0.18406952561308634
jaro_winkler,elevated,mixed,expand,0.9991513678734361,0.9890830907095783,0.5204418620827698
jaro,elevated,mixed,expand,0.9990900809538575,0.9854933230760158,0.5202475838472084
levenshtein_norm,elevated,mixed,expand,0.9991559154427563,0.9777583078955162,0.1946718716179784
damerau_lev_norm,elevated,mixed,expand,0.9991535468677867,0.9777719159487606,0.19610783760582653
jaro_winkler,elevated,dropsuffix,none,0.9961099908057982,0.9637173142391455,0.4762979828275371
jaro,elevated,dropsuffix,none,0.9960798114007522,0.9475211356049711,0.4761473209546628
levenshtein_norm,elevated,dropsuffix,none,0.997517453644398,0.8726584594133018,0.15885675685063497
damerau_lev_norm,elevated,dropsuffix,none,0.9974649708668913,0.872678588873098,0.16088322300630295
jaro_winkler,elevated,dropsuffix,abbreviate,0.9961294304736279,0.9653191297993715,0.4730248975108598
jaro,elevated,dropsuffix,abbreviate,0.9960996623417157,0.9502866903347649,0.4728662858024227
levenshtein_norm,elevated,dropsuffix,abbreviate,0.9982749433962116,0.8803027381637875,0.15988548792260276
damerau_lev_norm,elevated,dropsuffix,abbreviate,0.9982392265042548,0.8803187711797529,0.16223831835492994
jaro_winkler,elevated,dropsuffix,expand,0.9948526845656114,0.9556317677982683,0.49100248672818886
jaro,elevated,dropsuffix,expand,0.994494432209998,0.9348431403499757,0.4908400292014489
levenshtein_norm,elevated,dropsuffix,expand,0.9914815810837014,0.8377917443523004,0.17251669687666535
damerau_lev_norm,elevated,dropsuffix,expand,0.9914105886495929,0.8378162317310656,0.17370430481490814
jaro_winkler,severe,consistent,none,0.9991822615391931,0.9700089277706198,0.49854386788543825
jaro,severe,consistent,none,0.9991874196509369,0.9611188999103699,0.4983340352911348
levenshtein_norm,severe,consistent,none,0.9994147695763145,0.9427551476435657,0.17488391139479473
damerau_lev_norm,severe,consistent,none,0.9994133475811482,0.9427996380260756,0.17750283635652223
jaro_winkler,severe,consistent,abbreviate,0.998966276423568,0.96787634597079,0.4961196971301492
jaro,severe,consistent,abbreviate,0.9989643140837555,0.9583692822154981,0.4958873160184004
levenshtein_norm,severe,consistent,abbreviate,0.9993009389984228,0.9323507085273645,0.1787110020613603
damerau_lev_norm,severe,consistent,abbreviate,0.9992978726523821,0.9324055838131341,0.181835751959252
jaro_winkler,severe,consistent,expand,0.9986365147983083,0.9673631583795179,0.5172699529963215
jaro,severe,consistent,expand,0.9984706904945891,0.9574039376568114,0.5170324932006348
levenshtein_norm,severe,consistent,expand,0.9985999322154369,0.934043620371845,0.19108080513497108
damerau_lev_norm,severe,consistent,expand,0.9985976424247414,0.9340909764283669,0.1925021081241027
jaro_winkler,severe,split,none,0.998703128324335,0.9324461628461,0.497748830976424
jaro,severe,split,none,0.9987176527004501,0.9038970127289044,0.4975686626222139
levenshtein_norm,severe,split,none,0.9991719314567534,0.7769245164276658,0.16489215159048345
damerau_lev_norm,severe,split,none,0.9991656499513271,0.7769697605696104,0.16674643269030254
jaro_winkler,severe,split,abbreviate,0.9988495943904748,0.96787634597079,0.4957481732034956
jaro,severe,split,abbreviate,0.9988407929159304,0.9583692822154981,0.49557516120727985
levenshtein_norm,severe,split,abbreviate,0.9991795565852473,0.9323507085273645,0.17728416294356453
damerau_lev_norm,severe,split,abbreviate,0.9991744913020087,0.9324055838131341,0.18048874164371742
jaro_winkler,severe,split,expand,0.998527422911546,0.9673631583795179,0.5168674974110934
jaro,severe,split,expand,0.9983693495101152,0.9574039376568114,0.5166745039087255
levenshtein_norm,severe,split,expand,0.9985140444674785,0.934043620371845,0.1899335585420546
damerau_lev_norm,severe,split,expand,0.9985080468260803,0.9340909764283669,0.19128675737180528
jaro_winkler,severe,mixed,none,0.9987222427629343,0.9499365379567323,0.5025187939577082
jaro,severe,mixed,none,0.9986562927660801,0.9307446436135745,0.5023344742249348
levenshtein_norm,severe,mixed,none,0.9988740224822112,0.8545863350337113,0.17463833196559445
damerau_lev_norm,severe,mixed,none,0.998865095277271,0.8546402519301759,0.17665105506290463
jaro_winkler,severe,mixed,abbreviate,0.9989531061088958,0.96787634597079,0.49648961594429136
jaro,severe,mixed,abbreviate,0.9989435384946065,0.9583692822154981,0.49629338116742017
levenshtein_norm,severe,mixed,abbreviate,0.9992783319982044,0.9323507085273645,0.17829901835899414
damerau_lev_norm,severe,mixed,abbreviate,0.999274224591752,0.9324055838131341,0.18153564973021225
jaro_winkler,severe,mixed,expand,0.9986249059490436,0.9673631583795179,0.5175378175627795
jaro,severe,mixed,expand,0.9984599314315501,0.9574039376568114,0.5173208454359552
levenshtein_norm,severe,mixed,expand,0.9985618102515885,0.934043620371845,0.1909592610510776
damerau_lev_norm,severe,mixed,expand,0.9985563365258762,0.9340909764283669,0.19231857401241556
jaro_winkler,severe,dropsuffix,none,0.9956168798711712,0.9438853320729834,0.47522421304505646
