noise,regime,treatment,rep,level,m,u
default,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.01016411054839119,0.029961106965381703
default,split,expand,0,All other comparisons,0.00019644828791805257,0.9684311977131468
default,split,expand,1,Exact match on street_name,0.9666991203590267,0.0012936292980568755
default,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.021987055611581353,0.00019799758888942948
default,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.011313823758907446,0.030804730678228465
default,split,expand,1,All other comparisons,2.704845065536332e-10,0.9677036424348252
default,split,expand,2,Exact match on street_name,0.9701992097323773,0.0012571943475473129
default,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.019882474036259812,0.0002017746818207025
default,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.009804574860538984,0.02957313073908106
default,split,expand,2,All other comparisons,0.00011374137082414398,0.9689679002315509
elevated,consistent,none,0,Exact match on street_name,0.859594649965121,0.0011519971556780888
elevated,consistent,none,0,Jaro-Winkler distance of street_name >= 0.92,0.0954364877704528,0.0002247466532143547
elevated,consistent,none,0,Jaro-Winkler distance of street_name >= 0.7,0.044069237269810296,0.013255959148738427
elevated,consistent,none,0,All other comparisons,0.0008996249946157996,0.9853672970423691
elevated,consistent,none,1,Exact match on street_name,0.8580724002283651,0.0010855285230455189
elevated,consistent,none,1,Jaro-Winkler distance of street_name >= 0.92,0.10132557299225416,0.0002558209756424881
elevated,consistent,none,1,Jaro-Winkler distance of street_name >= 0.7,0.03998598788743346,0.012927898656928841
elevated,consistent,none,1,All other comparisons,0.0006160388919474139,0.9857307518443832
elevated,consistent,none,2,Exact match on street_name,0.8608165686165201,0.0011466043847733196
elevated,consistent,none,2,Jaro-Winkler distance of street_name >= 0.92,0.09702347018081989,0.0002424733410446042
elevated,consistent,none,2,Jaro-Winkler distance of street_name >= 0.7,0.0416252435660686,0.013956741303538295
elevated,consistent,none,2,All other comparisons,0.0005347176365912269,0.9846541809706438
elevated,consistent,abbreviate,0,Exact match on street_name,0.859590975330371,0.001146496971993244
elevated,consistent,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.08970572536756269,0.0002499248585228477
elevated,consistent,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.0489071016029346,0.014057094401068096
elevated,consistent,abbreviate,0,All other comparisons,0.001796197699131673,0.9845464837684158
elevated,consistent,abbreviate,1,Exact match on street_name,0.8580766604650634,0.0012385866280508334
elevated,consistent,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.09611768609779325,0.000262847268700488
elevated,consistent,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.04485203454067195,0.014537319850241957
elevated,consistent,abbreviate,1,All other comparisons,0.0009536188964713887,0.9839612462530067
elevated,consistent,abbreviate,2,Exact match on street_name,0.860784313804311,0.0009991613930924335
elevated,consistent,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.09269967222506109,0.00026145156869940257
elevated,consistent,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.04578535597513367,0.01466551115483318
elevated,consistent,abbreviate,2,All other comparisons,0.0007306579954940693,0.984073875883375
elevated,consistent,expand,0,Exact match on street_name,0.859621475083169,0.0011079331505956288
elevated,consistent,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.08966206893545128,0.00029147887696009473
elevated,consistent,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.049087058690639805,0.028613509754915965
elevated,consistent,expand,0,All other comparisons,0.001629397290739859,0.9699870782175283
elevated,consistent,expand,1,Exact match on street_name,0.8581501830855054,0.0012648829140253627
elevated,consistent,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.09219822480618606,0.00030615521169978884
elevated,consistent,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.04830672876146343,0.02943913305346087
elevated,consistent,expand,1,All other comparisons,0.001344863346845076,0.968989828820814
elevated,consistent,expand,2,Exact match on street_name,0.8608098155502,0.0010788042116516422
elevated,consistent,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.09013062421220017,0.0003076332010000167
elevated,consistent,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.04748778582463,0.029728861204331283
elevated,consistent,expand,2,All other comparisons,0.0015717744129698495,0.9688847013830171
elevated,split,none,0,Exact match on street_name,0.13062288275416412,5.25758226261907e-05
elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.7669516318340587,0.0011566680977761954
elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.09954868645174506,0.008366318662715408
elevated,split,none,0,All other comparisons,0.00287679896003216,0.9904244374168822
elevated,split,none,1,Exact match on street_name,0.12749828263623247,4.914061388515601e-05
elevated,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.7697194343115603,0.0010323491868615435
elevated,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.09976456200048353,0.008278608258555718
elevated,split,none,1,All other comparisons,0.0030177210517237305,0.9906399019406976
elevated,split,none,2,Exact match on street_name,0.13011176227270557,4.5969753467146395e-05
