comparator,model,noise,regime,treatment,rep,level,m,u
jw_no_tf,address_heavy,elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.08971019846410463,0.000265219895168453
jw_no_tf,address_heavy,elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.04890828916246017,0.01441438820961219
jw_no_tf,address_heavy,elevated,split,abbreviate,0,All other comparisons,0.001735676357693847,0.9840134819776718
jw_no_tf,address_heavy,elevated,split,abbreviate,1,Exact match on street_name,0.8580483612551238,0.0012765366449747362
jw_no_tf,address_heavy,elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.09610957996387076,0.0002945546359882218
jw_no_tf,address_heavy,elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.04488993504138761,0.014350046411339355
jw_no_tf,address_heavy,elevated,split,abbreviate,1,All other comparisons,0.0009521237396178188,0.9840788623076977
jw_no_tf,address_heavy,elevated,split,abbreviate,2,Exact match on street_name,0.8610025745034178,0.0010978956999085087
jw_no_tf,address_heavy,elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.09272072610142602,0.00021911959459741735
jw_no_tf,address_heavy,elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.04569919100299408,0.013917749731583719
jw_no_tf,address_heavy,elevated,split,abbreviate,2,All other comparisons,0.0005775083921621359,0.9847652349739103
jw_no_tf,address_heavy,elevated,split,expand,0,Exact match on street_name,0.8596292926605331,0.0011233430242171161
jw_no_tf,address_heavy,elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.08966127015622696,0.0002896507815590862
jw_no_tf,address_heavy,elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.04912347649467503,0.0282058903096076
jw_no_tf,address_heavy,elevated,split,expand,0,All other comparisons,0.0015859606885648262,0.9703811158846162
jw_no_tf,address_heavy,elevated,split,expand,1,Exact match on street_name,0.8580150947587676,0.0010714285714285715
jw_no_tf,address_heavy,elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.09217678689099924,0.00029271784553474694
jw_no_tf,address_heavy,elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.04848916212021759,0.02826826342671413
jw_no_tf,address_heavy,elevated,split,expand,1,All other comparisons,0.0013189562300155873,0.9703675901563226
jw_no_tf,address_heavy,elevated,split,expand,2,Exact match on street_name,0.8609361474861816,0.0010137182703239252
jw_no_tf,address_heavy,elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.09014074883730704,0.0002844741823447044
jw_no_tf,address_heavy,elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.04734981978377538,0.029265332235206176
jw_no_tf,address_heavy,elevated,split,expand,2,All other comparisons,0.001573283892736008,0.9694364753121252
lev_abs,full,elevated,split,none,0,Exact match on street_name,0.1307237349160297,5.7403673835125446e-05
lev_abs,full,elevated,split,none,0,Levenshtein distance of street_name <= 1,0.02028586950357903,1.800115207373272e-05
