scenario,noise_type,sigma,variable,realization,cp_time,delay,is_delay,tau_var_bp,tau_ac_bp,tau_var_cp,tau_ac_cp
MN low,multiplicative,0.05,I,0,66.345,51.84874815310283,True,-0.6401399300349824,-0.44780942861902373,0.9655010589943123,0.06396325646700458
MN low,multiplicative,0.05,I,1,79.425,64.92874815310283,True,-0.9072977796815876,-0.7786402037076698,0.9897194260012849,-0.1902981842412127
MN low,multiplicative,0.05,I,2,77.98,63.48374815310284,True,-0.8595464172675565,-0.723559172794555,0.9553385212155826,-0.052056828728492884
MN low,multiplicative,0.05,I,3,81.355,66.85874815310284,True,-0.6058256585992717,-0.41898955284262623,0.9215458937198066,0.1415016301373123
MN low,multiplicative,0.05,I,4,117.305,102.80874815310284,True,0.08074343780490706,0.2971133480878608,0.9161676304704789,0.5383203636277099
MN low,multiplicative,0.05,I,5,97.255,82.75874815310283,True,0.1716884414935389,-0.14751957354656,0.8931086837533613,0.1612612741248423
MN low,multiplicative,0.05,I,6,88.915,74.41874815310284,True,0.775030579948121,0.7824554389471929,0.9362280764379712,0.2950629447181171
MN low,multiplicative,0.05,I,7,81.525,67.02874815310284,True,0.5197106208800361,0.4572561338378429,0.6762666285904665,-0.060604935627424375
MN low,multiplicative,0.05,I,8,91.295,76.79874815310284,True,0.14541205587682346,0.3897603579162799,0.9543694819257036,0.289831274838771
MN low,multiplicative,0.05,I,9,102.095,87.59874815310283,True,0.3011970205373503,0.4031251041146093,0.8761628709454795,-0.01114014421360748
MN low,multiplicative,0.05,I,10,85.905,71.40874815310283,True,-0.10520930011184883,0.3720891934984888,0.9900278432212463,-0.06836296137645462
MN low,multiplicative,0.05,I,11,100.36,85.86374815310283,True,-0.2938806787082649,-0.2566650008329168,0.9839699198020035,-0.5605016539349371
MN low,multiplicative,0.05,I,12,98.575,84.07874815310284,True,0.5430970229171128,0.7648185431093976,0.7087284928964088,-0.16897360843387826
MN low,multiplicative,0.05,I,13,106.58,92.08374815310283,True,0.541286499607339,0.7658751576592655,0.8828109754646485,-0.37853359034768325
MN low,multiplicative,0.05,I,14,115.02,100.52374815310283,True,0.46258489802717684,0.6125251659884342,0.8973979676828251,0.2147469122581566
MN low,multiplicative,0.05,I,15,100.215,85.71874815310284,True,0.20029509054996308,0.07104162204611979,0.02688084529163989,-0.22207848456724014
MN low,multiplicative,0.05,I,16,86.21000000000001,71.71374815310284,True,0.6800437876299944,0.6609676114323789,0.9156269484305465,-0.3939049522857618
MN low,multiplicative,0.05,I,17,88.26,73.76374815310284,True,-0.5112881654410889,-0.308351538516456,0.8771242949953593,-0.1284814735489398
MN low,multiplicative,0.05,I,18,98.015,83.51874815310283,True,-0.12199138525975105,0.30429832702696263,0.8798124747150232,0.17324004664334497
MN low,multiplicative,0.05,I,19,104.74000000000001,90.24374815310284,True,-0.7639865781395015,-0.4019466457247566,0.9748735156231406,0.0638623545370172
MN low,multiplicative,0.05,I,20,95.115,80.61874815310283,True,-0.7007058375574116,-0.3693686490088289,0.20080340781989953,-0.7610052116798742
