loc,inc_c,inc_v,ly,dC,dQ,icer,nmb
USA,32.32787445275436,30.075597411738208,29.02979012174192,-6427.099586382319,0.2499592238011541,-25712.592192617634,31423.02196649773
HighBurden,35.873255146360826,33.23853931930213,26.296501211049097,-7699.481017419399,0.3036670547521876,-25355.009366105536,38066.18649263815
