horizon,r_rev,cost_c,q_c,dC,dQ,dLY,inc_c,inc_v,icer,nmb
lifetime,0.05,163210.0,16.35,-4873.1334598533285,0.18524316200003454,0.03842238119266739,32.40357091240639,31.2378778345054,-26306.684723144706,23397.449659856782
10-year,0.05,43716.87281927806,7.547414509440902,-350.89693550384254,0.014014397171575155,0.0,20.20382053591549,19.336372789954197,-25038.318181502153,1752.3366526613581
