horizon,cost_c,cost_v,dC,q_c,q_v,dQ,dLY,inc_c,inc_v,icer,nmb
lifetime,163210.0,159891.79913974446,-3318.2008602555434,16.35,16.498998057840303,0.14899805784030207,0.04267599449153181,32.343731678989016,31.642121334393238,-22270.0947136642,18218.00664428575
10-year,37781.566488788296,37281.92543353638,-499.64105525191553,7.73852307238546,7.752613265617594,0.014090193232133785,0.00016380651029912485,20.15588103119508,19.002328466048144,-35460.198949752164,1908.6603784652941
