sex,age,n,rho,rho_lo,rho_hi,spearman,med_cap,med_lsm
Male,12–29,2213,0.22150482836967594,0.16349176434933,0.27799126837389637,0.1909775931145567,227.72153345280523,4.9
Male,30–44,1380,0.35875683796327545,0.29599739388792057,0.4184321059928434,0.33893749654683164,267.41073590141616,5.1
Male,45–59,1409,0.4004838621075609,0.33410923075733323,0.46290595181022776,0.38814923006208574,283.0275773907641,5.4
Male,60–80,2436,0.29951584975281287,0.24394323909223192,0.3531278438313233,0.2943286141810786,274.33479962351527,5.4
Female,12–29,2109,0.25335856633129655,0.19867438342151264,0.30647011101469374,0.21173416878319634,215.9533164130241,4.5
Female,30–44,1567,0.32706075991012146,0.26720253832247987,0.38440475980826805,0.31487810613127903,240.22244389302375,4.5
Female,45–59,1617,0.3545260558960452,0.28941638654547996,0.4163701778380718,0.34766910999624956,265.5857353945944,5.0
Female,60–80,2569,0.29526371759869563,0.24417367370407347,0.3447191828682552,0.2929718829501617,262.7453244245815,4.9
