cap_hi,age_mid,n,w_sum,F1,F2,F3,F4
False,12.5,580,10834688.382823,9.686651760025477,1.964000627764767,0.20870047196602792,0.0
False,17.5,857,15650066.107705,15.337343296053286,1.6380158754459886,1.0430781998207077,0.22602143202184333
False,22.5,434,15709931.963901998,17.207741146935906,2.956544503504239,0.9739390891289189,0.08625645027067498
False,27.5,428,14618343.335384,12.826581073831003,2.9235307224693368,0.7641707886050658,0.0
False,32.5,449,14401712.055682,12.28591355670741,1.7350293428927128,0.6318435491778817,0.30504814739485897
False,37.5,370,11750344.736885,11.586810174923679,1.1065040960957169,0.35717948220918444,0.23801850269300506
False,42.5,377,10741938.841176001,9.069390242556473,3.4153296189483395,0.7784747718117256,0.0
False,47.5,360,11578971.896561999,16.59755263747228,1.0847561003347277,0.587337860878587,0.13103949067796888
False,52.5,341,10137563.473481,11.912361940786258,2.2059151275845195,0.6925137164728754,0.7358588973686077
False,57.5,403,12434574.278159,17.560428232564206,0.9621937494647703,1.8046187648751821,0.3929528569854204
False,62.5,505,10913558.407052,15.192594818483935,2.963292991294468,2.5069079167177306,1.2903112705293924
False,67.5,345,8721649.137118,16.328294705542138,2.899366395224651,3.415819193816411,1.0936683048169433
False,72.5,286,6678430.184666,13.826175400397322,1.353582500713391,1.5803329399673633,1.4758050967321623
False,77.5,197,4688553.2928909995,20.65997220161105,4.130325990740575,1.6153125562811148,2.025097403648247
False,82.5,278,5369524.382424001,17.404924125441898,6.357229963744028,3.530935147395869,1.8130816563133083
True,12.5,56,1011600.089488,24.325832534331653,5.1956392906807345,3.59346323628723,4.5532867632814105
True,17.5,133,2345558.292027,26.706621502536045,2.130365221996572,3.6939175007296146,3.78674844385311
True,22.5,116,4104890.5972339995,23.210823159867193,2.8906753016013655,6.1130978439008405,6.197740173524466
True,27.5,131,4746775.488724001,23.701823793996944,8.288183299748967,3.2626468376458084,2.61705496322923
True,32.5,151,5346828.201543,29.153725591728534,6.37138079459313,5.3593295775298255,4.057761193755745
True,37.5,181,5941182.177510001,15.5726494152677,9.88757954126902,6.888874561401395,3.29359725170068
True,42.5,221,6503973.719511999,28.307305495695335,2.8776889716129284,10.618125646574974,3.6194021137997883
True,47.5,236,6089150.481731,27.734653078780752,10.298490532914752,4.057290857324457,3.0274173449987627
True,52.5,265,7065745.121489,20.124990240241484,15.098977648335785,7.315644635354042,6.2708059217486705
True,57.5,279,8541152.675476,27.06175251654996,7.979496840056398,7.936495181772665,2.5964112442661733
True,62.5,361,8293831.588672,25.053673371582324,6.894014323439531,7.80465512509455,3.536308618197566
True,67.5,255,6145076.942958,32.76816687557565,5.816769589835924,6.967532793753765,6.838899352181346
True,72.5,190,5260936.439383,30.77959917833393,9.474385003850323,9.456303817260057,4.3790295955185226
True,77.5,104,2966862.3229239997,24.14265425266073,4.572612141816438,5.594340862113934,7.63932527477804
True,82.5,132,2464323.5475569996,22.90392627833074,4.782031025748426,4.147222162581559,2.04881546061809
