seed	loglik
42	-5808.3360
11400714819323198527	-5800.9910
4354685564936845396	-5834.0284
15755400384260043881	-5833.4672
8709371129873690750	-5820.5883
1663341875487337619	-5842.7058
13064056694810536104	-5826.4681
6018027440424182973	-5823.2568
17418742259747381458	-5863.2011
10372713005361028327	-5844.0001
