beta	z_lat	d_inf	delta	e0	R0
0.23386789053078305	8.329341443149074	11.997712685386368	0.4339167442971097	2.967936139769604	2.805879756925726
0.19974011931242727	9.909320971812718	11.123395075581934	0.33445391982094286	1.7361362827975042	2.2217882595560017
0.11107030472288933	8.059066494723494	7.36471513065047	0.3944389300443734	2.4750483004165327	0.8180011537586214
0.13051925860432265	9.59325998781448	10.965832902234478	0.369958406687775	1.8689570153360688	1.4312523803785318
0.23440492006216088	10.606268627671048	10.757876036389936	0.4277601864329362	1.984791138894054	2.521699072348619
0.48665454280892095	9.794612098559137	10.973268533293725	0.43406945756679577	3.964193484321171	5.3401909811895765
0.43502046471459543	10.49107974705464	8.8585865271424	0.39893173049405406	3.0151080214616948	3.853666427751941
0.43340848775263807	11.671531145783202	8.014235784893238	0.44784870650986897	4.00214154147112	3.4734378120236546
0.2740838722392676	8.446098468323116	10.779864733165763	0.4822496776608064	2.863954869911251	2.9545870682815916
0.2383742035238432	7.637376359355289	10.384404833588032	0.3494648773652797	1.8401887923882128	2.4753742312756946
0.17288850676984233	10.145812994676154	10.738542814603688	0.366271935105774	3.2575804059785094	1.8565706321008515
0.32085022626024035	11.453668546178497	9.61670384133599	0.4199977528103767	2.5283077216206062	3.085521603370375
0.19883621245935945	9.783917475615102	10.988698690281014	0.44647718653096186	0.7718856414654908	2.1849512274326006
0.2969519425406499	9.608221983163697	11.648269197942373	0.47323755939088485	1.4812756518522787	3.458976165565405
0.24501821778862368	7.316011788345101	12.723016357432977	0.34847710248651265	1.3248491677668528	3.1173707927937344
0.3814313728980339	8.184698275179361	13.877488817952912	0.3790039929843532	2.2050937501814865	5.293309612208893
0.31720462555292894	7.463632639410301	9.971031323507646	0.38778572850557375	1.7602475072288968	3.1628572573497684
0.23911915665438768	6.313140729448766	12.179062449196904	0.4833841926482372	1.4219653663500789	2.912247141693085
0.2504668737450254	8.824308020177323	9.213102164044145	0.4993247024228694	4.603844184971713	2.307576896521665
0.17539689276995127	10.885734872523045	10.599581434438775	0.482987823976937	3.5339369682917576	1.8591336482626242
0.1978666248043156	10.133414946524146	9.692313921461697	0.47447516702745207	1.5922082261814308	1.9177854421835063
0.31388977303530047	8.65729146536281	11.153747912299352	0.360311570364079	2.7484186755695568	3.5010474006846
0.1068247013512138	6.723399181638408	12.266991928033775	0.48799672311778697	2.8544583478744547	1.3104177491899585
0.14862929042619133	7.07540430247954	13.811927207500142	0.38643471527290074	1.797346642744535	2.0528569402689523
0.2384456933377668	8.101486953581603	10.642460755210882	0.42366677994773067	2.869069135509611	2.5376489335962322
