beta	z_lat	d_inf	delta	e0	R0
0.46282518580696175	20.08007618340841	13.195345919390071	0.4054376484745641	4.292553044615934	6.107138426928844
0.3503244274059335	16.617134199739755	11.924487999365825	0.3782961701528774	3.5522438795009137	4.177439430486758
0.3945387874450561	16.413399867861273	11.240172112253717	0.38616335265733376	4.398230479152542	4.434683875842317
0.35205025523947764	16.952943588915186	12.016725436907672	0.3811029005043046	4.309359305712385	4.2304912572060696
0.21441518838832457	22.243098825814105	10.837121747813505	0.4948176074912165	1.159718922161673	2.323643501144642
0.18509147067126727	19.47122966350364	13.132151878330475	0.4740201942944012	1.9454238873268064	2.430649304238633
0.16852470157947536	20.524597234759568	12.375349345398527	0.4418249508945695	0.946192619649976	2.0855520553750426
0.42309905389965774	17.21166013034265	8.416072320283677	0.44978104753970743	1.8778164231264287	3.560832236263121
0.2946973735002788	22.77813133567244	13.683636824778777	0.3820802212701691	2.80570202914931	4.0325318321940005
0.30159015102974657	23.608956508578014	13.975618994833017	0.3870762285527057	2.66363298615004	4.214909043385885
0.3248744846604581	22.74529555770496	12.801601532904037	0.38436939575552864	2.0299257060433935	4.1589137008307295
0.49769674090368954	23.18350721060782	12.942367331946842	0.3820998314811968	1.5438398983209076	6.4413740406883235
0.4854107541180618	22.343088666810917	13.092276210082437	0.367219213329498	1.4609203192239757	6.355131668258076
0.4147447341298352	19.058546336345124	12.869975654225753	0.34800501995662125	1.4414577751162077	5.337754630969312
0.3230752813283701	17.838034707624598	8.148846746687	0.3073167532968188	2.132030812161223	2.632690955187676
0.285505356588634	16.509006875357425	12.640932615605376	0.3579445257176808	1.512723499495058	3.609053974031307
0.44721744391080176	23.241661224386466	13.552053607215246	0.3615221247724088	2.4596253999968227	6.060714773960963
0.3465626771030635	26.42966004431752	13.840402870640004	0.3871610729716002	2.1171513219515887	4.796567071033925
0.37287571497837085	25.718802422012608	13.95820216568548	0.36581018995102543	3.5938085363422605	5.204674612342617
0.43803976632260055	23.087428897011687	10.880403445662056	0.43519683955449207	0.7356380162543894	4.766049382833425
0.3922453254491513	33.71350544889314	12.970216567252857	0.3348965934356362	0.8583906006739485	5.0875068185680705
0.483914564753988	16.417840320882284	12.695544496926429	0.48806609552944935	1.2882983232002287	6.14355888954504
0.4417252212348653	29.8798989636811	12.089812347399825	0.4848393233979284	1.4423116155237796	5.340375033843194
0.4933517240557422	28.526912850360592	11.385798595494208	0.48592595770093433	2.3753101173635938	5.617203366838515
0.4652679988406446	30.75546181033549	11.240229770751911	0.4656551395301757	2.543014631448432	5.2297192119467795
