beta	z_lat	d_inf	delta	e0_extra	R0
0.3351289635193946	27.749669959635614	10.271472298017285	0.31271863176719966	3.1091702799066288	3.4422678650527065
0.4358952892719729	26.881832789956295	7.727002551516746	0.4256960003893769	3.268775574699515	3.3681640123986645
0.247893792556118	18.94062879435984	8.819086945120324	0.33626481151865695	2.3102893601918804	2.186196909708026
0.10840746308913926	22.70823351953725	8.134307002136302	0.4571393040610436	0.5043747378696479	0.8818195860898181
0.11801637306434204	18.08075307633217	8.545472796222262	0.4657802621930475	1.6476637337752087	1.0085057055301525
0.16819737004633312	20.73663970301384	7.383769259789421	0.36461247653206913	2.849260132648281	1.2419305705255403
0.15957476980124627	21.29423644743116	7.6641889044109535	0.3337841685449951	2.462831271167309	1.2230111801346437
0.14303358162984284	18.937995443849164	7.458025223586336	0.34632960248944955	2.503764213672171	1.0667480596152632
0.11475152871109467	25.481612459711226	8.814031520105129	0.40476625770788793	3.0442467789234477	1.011423591039837
0.21313716573130287	22.442965130020063	9.11846314122608	0.45886541790375	3.1861665975043545	1.9434833897462795
0.2441207693851884	17.78755198682921	9.373158103074813	0.3680361827985568	2.2137793931173646	2.2881825676916363
0.49383320297020855	25.921901554678577	8.078370628401263	0.38949328090619406	0.6577302638165505	3.989367642203852
0.43779031995955153	26.03742332592929	7.075424189556321	0.3726142969225465	1.2584379764595024	3.0975522197954124
0.18182580721213748	28.320256442654504	8.394638731218425	0.45247351449008794	1.2560495002457668	1.5263619635580636
0.4307504335932616	23.65608083838732	9.274258568188769	0.4190664596996168	2.333982055806108	3.9948908995033334
0.38891571065794034	23.196684483439373	8.285238694638556	0.4774806310035185	1.896379150913252	3.22225949489602
0.42377509991895235	22.00708700443876	11.257638782700107	0.488742618742908	3.639592020874476	4.770706999990211
0.4578897125292644	20.55479390072943	11.043523649490474	0.4809805156523333	3.2353836243972607	5.056715869175326
0.43219800008643566	17.069905240379413	8.89843036988044	0.47126197544156334	0.8719708851428445	3.8458838097707284
0.47398418653207336	16.90963181155019	7.39964836347761	0.4555010155689774	1.1157644660481003	3.5073163101863227
0.23710907984779303	12.919657868966175	10.615724773555856	0.4744267621674718	3.5602940642507366	2.51708473297525
0.19922441726342607	13.437218933702177	10.995674704492988	0.4614350595907272	3.967775074135021	2.1906068854208103
0.4047832082324905	23.343848576549224	7.228805776647757	0.35270012346771484	1.5678468742960203	2.926099193961039
0.36114489762053587	25.098650539777644	7.003982038963264	0.3530686537832623	1.458559110984586	2.5294523763974603
0.39606079756387097	24.700915478433917	7.666500798959588	0.34314634611398925	1.8584238516230052	3.0364004209599886
0.4245560336171743	21.118492365219684	7.772565796093764	0.38549823339110073	1.181933061603036	3.2998897054180834
0.30437793914796946	16.47401490319637	8.027332722872657	0.3541556911921007	0.9438107537039568	2.4433429910430378
