h_weeks	crps_twin	crps_persistence	crps_seasonal	in50	in90
1	58.658515625	91.16666666666667	664.4464285714286	0.39880952380952384	0.875
2	77.18130758928571	130.45833333333334	675.1666666666666	0.43452380952380953	0.8452380952380952
3	99.23585892857143	180.20238095238096	686.3511904761905	0.4523809523809524	0.7857142857142857
4	116.1408882440476	207.33928571428572	656.8690476190476	0.3869047619047619	0.7559523809523809
5	139.8161199404762	260.48214285714283	665.6607142857143	0.3273809523809524	0.7202380952380952
6	168.73989464285714	309.625	676.577380952381	0.35119047619047616	0.6785714285714286
7	184.48761086309526	350.3095238095238	688.3511904761905	0.2916666666666667	0.7202380952380952
8	190.7682699404762	375.6904761904762	658.7261904761905	0.3392857142857143	0.7023809523809523
