t	pop	S_q05	S_q25	S_q50	S_q75	S_q95	S_mean	E_q05	E_q25	E_q50	E_q75	E_q95	E_mean	I_q05	I_q25	I_q50	I_q75	I_q95	I_mean
5124	3238728.3778234096	216358.0	216890.0	217006.0	217125.0	217819.0	217015.025	60.0	84.0	110.0	143.25	207.0	118.958	69.0	86.0	99.0	113.0	136.0	100.469
5152	3236514.442162904	207811.9	210137.0	210644.0	210883.0	211592.0	210131.479	145.0	206.0	253.0	330.25	463.0	274.9155	151.0	179.0	203.0	230.0	270.0	205.4535
5180	3234300.506502394	209155.15	210792.0	211691.0	212108.5	213161.0	211467.089	488.0	648.0	819.0	1011.0	1398.0	860.0125	483.0	565.0	624.0	697.0	817.0	634.7515
5208	3232086.57084189	206055.95	206652.0	206996.0	207290.0	207643.0	206939.693	563.95	766.75	963.0	1202.0	1708.0	1027.087	596.95	686.0	758.0	846.0	981.0	771.3405
5236	3229872.6351813856	212680.9	213372.25	213786.5	214148.5	214594.0	213721.731	549.9	777.0	1005.5	1305.75	1865.3499999999997	1080.1595	735.0	828.0	905.0	996.0	1155.0	920.613
5264	3227658.699520875	208375.0	209889.0	210693.0	211339.0	212101.4	210540.7465	1280.9	1752.0	2176.0	2734.25	3901.1	2329.9535	1494.85	1675.0	1833.0	2041.25	2361.25	1871.1725
5292	3225444.7638603696	205383.9	206752.75	207663.0	209747.0	210954.0	208048.919	1016.25	1406.0	1772.0	2267.0	3283.0	1915.7265	1230.8	1389.0	1538.0	1704.0	1983.0	1563.544
5320	3223716.847198975	202854.9	203741.25	204326.0	204846.0	205468.15	204250.7935	972.0	1266.0	1508.0	1810.25	2380.0	1569.052	1325.95	1480.0	1616.0	1772.25	2027.0	1636.8045
5348	3222103.696098563	200426.9	201137.0	201827.0	202788.0	203901.0	201996.7005	328.0	434.0	527.0	649.0	870.05	556.526	546.95	614.0	669.0	730.0	840.0	676.773
5376	3220493.839835729	231945.55	232785.0	233707.0	234089.0	234613.0	233447.899	189.0	270.75	358.0	469.25	682.0999999999999	387.5235	235.0	276.0	308.0	343.0	413.0	313.654
5404	3218883.9835728966	224775.0	225663.75	226230.0	232214.0	233556.25	227881.512	482.95	670.0	829.0	1065.5	1591.0	900.36	495.0	574.0	639.0	712.0	849.0	650.5945
