city	N0	cadence	t0_decyear
london	2481706.4681724813	weekly	1943.9958932238194
liverpool	664148.0390143741	weekly	1943.9958932238194
newyork	7218473.061	biweekly	1933.96167008898
baltimore	821387.0389	biweekly	1933.96167008898
