t	pop	birthrate
-60.0	663469.599589322	0.022632536606492122
-29.5625	663813.7662559893	0.022620802344447487
0.875	664157.9329226556	0.022609080243792986
31.3125	664502.099589322	0.02259737028563227
61.75	664846.2662559893	0.02258567245110813
92.1875	665190.4329226556	0.022573986721402487
122.625	665534.599589322	0.02256231307773607
153.0625	665878.7662559893	0.022550651501368455
183.5	666222.9329226556	0.022539001973598025
213.9375	667445.3542094441	0.022249472391802246
244.375	668686.1875427797	0.02195520198914455
274.8125	669927.0208761119	0.021662021676940056
305.25	671167.8542094441	0.021369925409216475
335.6875	672408.6875427797	0.0210789071846294
366.125	673649.5208761119	0.020788961046053673
396.5625	674890.3542094441	0.020500081080172136
427.0	676131.1875427797	0.020212261417076032
457.4375	677372.0208761119	0.019925496229869735
487.875	678612.8542094441	0.01963977973427285
518.3125	679853.6875427797	0.019355106188233655
548.75	681094.5208761119	0.019071469891546726
579.1875	685486.7864476335	0.019034696382446103
609.625	689945.119780975	0.01900349145408125
640.0625	694403.4531143042	0.018972687220648713
670.5	698861.7864476335	0.018942276013543796
700.9375	703320.119780975	0.018912250358606372
731.375	707778.4531143042	0.018882602969997078
761.8125	712236.7864476335	0.018853326744302693
792.25	716695.119780975	0.018824414754862344
822.6875	721153.4531143042	0.018795860246304127
853.125	725611.7864476335	0.018767656629282398
883.5625	730070.119780975	0.01873979747540867
914.0	734528.4531143042	0.01871227651236705
944.4375	737124.1683778205	0.01872643371499767
974.875	739680.8350444918	0.018741358284188846
1005.3125	742237.5017111562	0.018756180036832777
1035.75	744794.1683778205	0.01877090003174945
1066.1875	747350.8350444918	0.018785519313270063
1096.625	749907.5017111562	0.01880003891148391
1127.0625	752464.1683778205	0.018814459842480563
1157.5	755020.8350444918	0.018828783108586777
1187.9375	757577.5017111562	0.01884300969859861
1218.375	760134.1683778205	0.018857140588009223
1248.8125	762690.8350444918	0.018871176739231693
1279.25	765247.5017111562	0.018885119101817432
1309.6875	767462.9876796689	0.01895661182384497
1340.125	769671.3210130063	0.01902889915053036
1370.5625	771879.6543463377	0.019100772851821497
1401.0	774087.9876796689	0.019172236467714394
1431.4375	776296.3210130063	0.019243293497924092
1461.875	778504.6543463377	0.0193139474024554
1492.3125	780712.9876796689	0.019384201602165686
1522.75	782921.3210130063	0.01945405947931638
1553.1875	785129.6543463377	0.019523524378115206
1583.625	787337.9876796689	0.019592599605251
1614.0625	789546.3210130063	0.019661288430417822
1644.5	791754.6543463377	0.01972959408683032
1674.9375	792534.5995893215	0.019618572285238393
1705.375	793284.5995893229	0.01950400987481493
1735.8125	794034.5995893222	0.019389663882688576
1766.25	794784.5995893215	0.019275533696188396
1796.6875	795534.5995893229	0.01916161870495388
1827.125	796284.5995893222	0.019047918300924976
1857.5625	797034.5995893215	0.018934431878329414
1888.0	797784.5995893229	0.018821158833672875
1918.4375	798534.5995893222	0.018708098565729234
1948.875	799284.5995893215	0.018595250475528038
1979.3125	800034.5995893229	0.01848261396634489
2009.75	800784.5995893222	0.018370188443691843
2040.1875	800922.433264887	0.018768944483865645
2070.625	801047.4332648872	0.019178288385766247
2101.0625	801172.4332648871	0.01958750455489408
2131.5	801297.433264887	0.019996593051028046
2161.9375	801422.4332648872	0.02040555393390976
2192.375	801547.4332648871	0.020814387263240208
2222.8125	801672.433264887	0.021223093098686516
2253.25	801797.4332648872	0.021631671499878567
2283.6875	801922.4332648871	0.022040122526405748
2314.125	802047.433264887	0.02244844623782363
2344.5625	802172.4332648872	0.02285664269365065
2375.0	802297.4332648871	0.02326471195336484
2405.4375	800871.6119096526	0.02341773807912935
2435.875	799413.2785763165	0.02356595203121259
2466.3125	797954.9452429846	0.023714707731543428
2496.75	796496.6119096526	0.02386400815583937
2527.1875	795038.2785763165	0.024013856301651277
2557.625	793579.9452429846	0.024164255188562734
2588.0625	792121.6119096526	0.02431520785839535
2618.5	790663.2785763165	0.02446671737541261
2648.9375	789204.9452429846	0.024618786826525945
2679.375	787746.6119096526	0.02477141932150691
2709.8125	786288.2785763165	0.024924617993197902
2740.25	784829.9452429846	0.025078385997725224
2770.6875	785224.4353182747	0.024859369389936513
2801.125	785657.7686516088	0.024632779135876956
2831.5625	786091.1019849417	0.024406438697926726
2862.0	786524.4353182747	0.02418034766317884
2892.4375	786957.7686516088	0.023954505619635774
2922.875	787391.1019849417	0.023728912156208825
2953.3125	787824.4353182747	0.02350356686271188
2983.75	788257.7686516088	0.02327846932986081
3014.1875	788691.1019849417	0.023053619149272835
3044.625	789124.4353182747	0.022829015913460343
3075.0625	789557.7686516088	0.022604659215830294
3105.5	789991.1019849417	0.02238054865068361
3135.9375	789975.5133470226	0.022257098915875094
3166.375	789950.5133470226	0.02213574923944057
3196.8125	789925.5133470226	0.02201439188192289
3227.25	789900.5133470226	0.02189302684259241
3257.6875	789875.5133470226	0.021771654120719387
3288.125	789850.5133470226	0.021650273715575
3318.5625	789825.5133470226	0.021528885626429337
3349.0	789800.5133470226	0.021407489852552378
3379.4375	789775.5133470226	0.02128608639321502
3409.875	789750.5133470226	0.021164675247687073
3440.3125	789725.5133470226	0.02104325641523824
3470.75	789700.5133470226	0.020921829895139143
3501.1875	789406.1601642714	0.020900757021627282
3531.625	789106.1601642708	0.020881773805363425
3562.0625	788806.1601642711	0.02086277614964626
3592.5	788506.1601642714	0.020843764037994567
3622.9375	788206.1601642708	0.02082473745390202
3653.375	787906.1601642711	0.020805696380837315
3683.8125	787606.1601642714	0.02078664080224382
3714.25	787306.1601642708	0.020767570701539638
3744.6875	787006.1601642711	0.02074848606211777
3775.125	786706.1601642714	0.020729386867345715
3805.5625	786406.1601642708	0.020710273100565606
3836.0	786106.1601642711	0.020691144745094283
3866.4375	785593.942505134	0.020628961464043614
3896.875	785077.2758384665	0.020565793538070077
3927.3125	784560.6091718002	0.0205025424145429
3957.75	784043.942505134	0.02043920792898616
3988.1875	783527.2758384665	0.020375789916490115
4018.625	783010.6091718002	0.02031228821171029
4049.0625	782493.942505134	0.020248702648864973
4079.5	781977.2758384665	0.020185033061734334
4109.9375	781460.6091718002	0.020121279283659463
4140.375	780943.942505134	0.020057441147539892
4170.8125	780427.2758384665	0.019993518485832647
4201.25	779910.6091718002	0.019929511130551313
4231.6875	779393.942505134	0.01997234332947316
4262.125	778877.2758384665	0.020017475442679462
4292.5625	778360.6091718002	0.020062667472223173
4323.0	777843.942505134	0.020107919537498957
4353.4375	777327.2758384665	0.02015323175821892
4383.875	776810.6091718002	0.020198604254413274
4414.3125	776293.942505134	0.020244037146432154
4444.75	775777.2758384665	0.020289530554946315
4475.1875	775260.6091718002	0.02033508460094781
4505.625	774743.942505134	0.020380699405751813
4536.0625	774227.2758384665	0.02042637509099734
4566.5	773710.6091718002	0.02047211177864795
4596.9375	773291.8891170436	0.020518266197884855
4627.375	772875.2224503761	0.02056447798370967
4657.8125	772458.5557837099	0.02061073962311062
4688.25	772041.8891170436	0.020657051196804922
4718.6875	771625.2224503761	0.020703412785684123
4749.125	771208.5557837099	0.02074982447081422
4779.5625	770791.8891170436	0.02079628633343687
4810.0	770375.2224503761	0.020842798454969485
4840.4375	769958.5557837099	0.020889360917005356
4870.875	769541.8891170436	0.020935973801314844
4901.3125	769125.2224503761	0.020982637189845523
4931.75	768708.5557837099	0.021029351164722248
4962.1875	768185.780287475	0.02099699958414249
4992.625	767660.7802874739	0.020962943862453485
5023.0625	767135.7802874744	0.020928841527754597
5053.5	766610.780287475	0.02089469248427942
5083.9375	766085.7802874739	0.020860496635999048
5114.375	765560.7802874744	0.020826253886621394
5144.8125	765035.780287475	0.020791964139589808
5175.25	764510.7802874739	0.020757627298082414
5205.6875	763985.7802874744	0.02072324326501145
5236.125	763460.780287475	0.020688811943021843
5266.5625	762935.7802874739	0.020654333234490552
5297.0	762410.7802874744	0.0206198070415259
5327.4375	762000.0513347028	0.020585895313189193
5357.875	761591.7180013687	0.020551960998862636
5388.3125	761183.3846680357	0.02051799027672181
5418.75	760775.0513347028	0.020483983088142747
5449.1875	760366.7180013687	0.02044993937437558
5479.625	759958.3846680357	0.02041585907654442
5510.0625	759550.0513347028	0.020381742135646513
5540.5	759141.7180013687	0.02034758849255215
5570.9375	758733.3846680357	0.020313398088004624
