t	pop	birthrate
-60.0	821387.0389	0.014078006211159365
-29.5625	821387.0389	0.014078006211159365
0.875	821387.0389	0.014078006211159365
31.3125	821611.3128285388	0.014069610936769285
61.75	822007.672739991	0.014054937528247276
92.1875	822406.761806761	0.014040378025631798
122.625	822808.6184290495	0.014025933165593907
153.0625	823213.2809272461	0.014011603687795318
183.5	823620.8280943194	0.013997391790025454
213.9375	824031.3177055203	0.013978791264793382
244.375	824444.7355248358	0.013957118410850487
274.8125	824861.1152670009	0.013935865873568225
305.25	825280.4953857401	0.013915038255610962
335.6875	825702.9142509656	0.013894640162324652
366.125	826128.4536445368	0.013874682109797911
396.5625	826557.1732720723	0.013855172274596095
427.0	826989.054045491	0.013836105898217453
457.4375	827424.1296325275	0.013817487811459826
487.875	827862.4383369077	0.013799322628928393
518.3125	828304.018518925	0.013781614966051157
548.75	828748.9554073625	0.013764375767285534
579.1875	829197.3101049584	0.013747613425163913
609.625	829649.0589817641	0.013731322599833897
640.0625	830104.235403341	0.013715508102795159
670.5	830562.8777896008	0.013700174556789308
700.9375	831025.0245109341	0.013685326587045132
731.375	831490.7638893684	0.013670975579112279
761.8125	831960.1587506518	0.013657130138338393
792.25	832433.1807538477	0.013643784341701359
822.6875	832909.863149154	0.01363094297640123
853.125	833390.244290295	0.013618610676710647
883.5625	833874.3625471831	0.013606792078055596
914.0	834362.3095905544	0.013595499009994069
944.4375	834854.1496626791	0.013584740299097885
974.875	835349.8499415491	0.013574509428600386
1005.3125	835849.4434002538	0.013564811162491409
1035.75	836352.9684122285	0.013555650145396404
1066.1875	836860.4633175768	0.013547031024183576
1096.625	837372.0231109207	0.013538966080671313
1127.0625	837887.7134875137	0.01353146436491875
1157.5	838407.4971650611	0.013524518758718908
1187.9375	838931.4068132113	0.013518134001409728
1218.375	839459.4807554012	0.013512314749504694
1248.8125	839991.7574019254	0.013507065659849072
1279.25	840528.3349504673	0.013502399477295207
1309.6875	841069.2807019189	0.01349832547677877
1340.125	841614.552804191	0.013494835931544767
1370.5625	842164.1836880265	0.013491935553142926
1401.0	842718.2117000993	0.01348962900911565
1431.4375	843276.6752406086	0.013487920967674205
1461.875	843839.675702622	0.013486824646726913
1492.3125	844407.2818058948	0.013486349552708865
1522.75	844979.4474791313	0.013486487334606768
1553.1875	845556.2047246995	0.01348724267729841
1583.625	846137.5918660364	0.0134886202602222
1614.0625	846723.6473134367	0.013490624762978512
1644.5	847314.475787101	0.013493269884854884
1674.9375	847910.1474994413	0.013496565366186253
1705.375	848510.6118297857	0.013500502226348628
1735.8125	849115.9004798009	0.013505085119228856
1766.25	849726.0518799749	0.013510318734008833
1796.6875	850341.1043103148	0.013516207763901738
1827.125	850961.165884188	0.013522766399673815
1857.5625	851586.3081825585	0.013530004622755845
1888.0	852216.4761960581	0.013537912806952181
1918.4375	852851.7014401893	0.013546495571438107
1948.875	853492.0221419147	0.013555757620257253
1979.3125	854137.4767413375	0.013565703655589937
2009.75	854788.1765004555	0.013576348375461294
2040.1875	855444.1944552463	0.013587701996983156
2070.625	856105.4713380446	0.01359975362269143
2101.0625	856772.0381624353	0.013612505626066574
2131.5	857443.9332518558	0.013625960020916733
2161.9375	858121.1951065051	0.013640118625126254
2192.375	858803.9380424751	0.013654993358425717
2222.8125	859492.2304440404	0.013670591233154413
2253.25	860185.9260423849	0.013686899350041002
2283.6875	860884.9121118546	0.013703920842291507
2314.125	861589.0809483656	0.013721658864265577
2344.5625	862298.3251215491	0.013740116372541102
2375.0	863012.6049570085	0.013759306781148128
2405.4375	863731.837772897	0.013779238358886352
2435.875	864455.8243013906	0.013799898196974185
2466.3125	865184.4489753495	0.013821290427943661
2496.75	865917.6042871644	0.013843419689748348
2527.1875	866655.1826766577	0.01386629061620679
2557.625	867397.1354298448	0.013889918969451492
2588.0625	868143.3744153529	0.013914315394765146
2618.5	868893.7152095517	0.013939468026609756
2648.9375	869648.0419599345	0.013965381207056224
2679.375	870406.2471659424	0.013992059543951413
2709.8125	871168.2233270156	0.014019507639292448
2740.25	871933.9122966849	0.014047741749133024
2770.6875	872703.2210714081	0.014076772721199038
2801.125	873475.9796466759	0.014106587957225263
2831.5625	874252.0720090386	0.014137191713810388
2862.0	875031.3905579377	0.014168588567842191
2892.4375	875813.8278029078	0.014200783088859775
2922.875	876599.3165641009	0.014233792021093507
2953.3125	877387.7584875356	0.014267626420228795
2983.75	878178.9983728593	0.0143022729444088
3014.1875	878972.9197226621	0.014337735766772193
3044.625	879769.415089912	0.014374019427619119
3075.0625	880568.3769841441	0.01441112846266067
3105.5	881369.7289255206	0.014449080107321896
3135.9375	882173.3675707893	0.014487885616440658
3166.375	882979.1521679094	0.014527530908706723
3196.8125	883786.9659573756	0.014568020067440556
3227.25	884596.7016618657	0.014609357594800181
3257.6875	885408.2515808197	0.01465154799380296
3288.125	886221.530187516	0.01469460898496644
3318.5625	887036.4291141154	0.014738552018390801
3349.0	887852.821812115	0.014783362279059312
3379.4375	888670.5916566083	0.014829043751620424
3409.875	889489.6310470364	0.014875600906231563
3440.3125	890309.8324828395	0.01492303820520123
3470.75	891131.1012435151	0.01497137385212749
3501.1875	891953.3239478042	0.015020619487673047
3531.625	892776.3882453799	0.01507075956743967
3562.0625	893600.1774203602	0.015121797978546651
3592.5	894424.5840454244	0.015173739149697711
3622.9375	895249.5004902035	0.015226587506612467
3653.375	896074.8228000902	0.015280361730313092
3683.8125	896900.4327415655	0.015335073643366635
3714.25	897726.2321076078	0.015390706980841896
3744.6875	898552.1042052022	0.015447265527961416
3775.125	899377.9414105535	0.015504753676821286
3805.5625	900203.6363231017	0.015563175809053998
3836.0	901029.075744097	0.01562255107494809
3866.4375	901854.1364256893	0.01568289147485443
3896.875	902678.7342987985	0.01574418003447966
3927.3125	903502.7527111343	0.015806420434309184
3957.75	904326.0840621379	0.015869617024672367
3988.1875	905148.620861344	0.015933774147612465
4018.625	905970.2407886796	0.015998911410386587
4049.0625	906790.8156698856	0.016065040981339377
4079.5	907610.2755790486	0.0161321451906318
4109.9375	908428.5037815855	0.016200227613508828
4140.375	909245.3926804633	0.01626929255830147
4170.8125	910060.8349049308	0.016339344322176496
4201.25	910874.6987338379	0.016410402962048758
4231.6875	911686.8514044447	0.016482480798596218
4262.125	912497.236808454	0.016555559489386938
4292.5625	913305.738216556	0.016629642501269862
4323.0	914112.248212006	0.016704734095523487
4353.4375	914916.6591740516	0.01678083852998949
4383.875	915718.8304730001	0.01685797628707678
4414.3125	916518.6244526028	0.016936159835137205
4444.75	917315.9987067262	0.017015370181915197
4475.1875	918110.8368160457	0.01709561067814054
4505.625	918903.031283528	0.01717688554109338
4536.0625	919692.4745485166	0.017259198982347027
4566.5	920479.016806166	0.017342571897229427
4596.9375	921262.5154608336	0.017427016890780824
4627.375	922042.9421339614	0.017512514339381884
4657.8125	922820.1803800546	0.017599067480744638
4688.25	923594.1227950291	0.01768668048389294
4718.6875	924364.6618384209	0.01777535751313998
4749.125	925131.6384399077	0.017865119858945202
4779.5625	925894.9053594269	0.017955980243646023
4810.0	926654.4478103521	0.01804791844796587
4840.4375	927410.1497217244	0.01814093758666299
4870.875	928161.9035929852	0.01823504178248473
4901.3125	928909.6018235745	0.01833023515234999
4931.75	929653.0761742252	0.018426539357249597
4962.1875	930392.174894856	0.018523967219779468
4992.625	931126.8967157057	0.018622497956994517
5023.0625	931857.1256713427	0.018722134563661442
5053.5	932582.7543576828	0.01882288111046259
5083.9375	933303.6752443571	0.01892474166238137
5114.375	934019.7109894025	0.01902773822441438
5144.8125	934730.7049438845	0.019097357402994394
5175.25	935436.669470215	0.019141397802308013
5205.6875	936137.488942051	0.0191858684925121
5236.125	936833.0560355973	0.01923077216952981
5266.5625	937523.262960389	0.019276111550693
5297.0	938187.2755	0.019320497807385033
5327.4375	938187.2755	0.019320497807385033
5357.875	938187.2755	0.019320497807385033
5388.3125	938187.2755	0.019320497807385033
