pair,scope,raw_u_f,raw_u_s,raw_m_f,raw_m_s,raw_n_fb_adults,raw_n_sg_adults,raw_n_mig_f,raw_n_mig_s,gross_e,gross_se,gross_se_full,raw_gross_e,raw_u_f_0-4,raw_u_f_5-9,raw_u_f_10plus,ret_ratio,net_e,fb_pop,wa_fb_pop,fb_stock,wa_fb_stock,e_male,e_female,e_in_us_0_4,e_in_us_5_9,e_in_us_10plus,e_washington,n_male,n_female,n_in_us_0_4,n_in_us_5_9,n_in_us_10plus,n_washington
2023->2024,march_basic,0.3487485310186759,0.35168747589473554,0.10822042530272413,0.08970492987401499,5876,3666,5609,3408,-0.0077940358543018,0.001625902566414606,0.02121041987220941,-0.023842055976888172,0.5252359787816162,0.36955119540758175,0.30877374349185444,0.0037492416574257605,-0.01154327751172756,14390010.600000001,326726.14999999997,48777673.99,1040329.38,0.007621945692793632,-0.022634457562266057,-0.040462370177439234,-0.03183386354531537,0.003925100673010223,-0.012525394241691403,2925,3205,1018,643,4469,116
2024->2025,march_basic,0.34909812973431836,0.33722059652345354,0.09615810481867958,0.11107237807713657,6214,3666,6054,3626,0.051359993483536634,0.001334811094945001,0.018958316839990982,0.02947873869067067,0.520798499030863,0.38004216039922095,0.3092534207119166,0.004031325072536519,0.04732866841100011,15648731.73,466782.47,51276742.3,1223631.3499999999,0.06653058009854096,0.036350732001706736,0.04654767540524747,0.038827440561618416,0.054743309113627105,0.039378908050253215,3159,3386,1018,774,4753,169
