n_fb,fb_t2_roster_confirmed,fb_t3_moved_signal,fb_t4_refusal_signal,fb_u,fb_t1_spouse_reported,n_2g,2g_t2_roster_confirmed,2g_t3_moved_signal,2g_t4_refusal_signal,2g_u,2g_t1_spouse_reported,n_3g,3g_t2_roster_confirmed,3g_t3_moved_signal,3g_t4_refusal_signal,3g_u,3g_t1_spouse_reported,fear_index,fear_refusal,depart_gap,pair,months_span,date
8618,0.014455081094304122,0.010560740066577158,0.08787034270591199,0.11288616386679326,0.0001176290639187806,5519,0.012548383757096103,0.012691857892325674,0.08611922227334952,0.11135946392277128,0.0,47389,0.009325618065909898,0.010278250173580954,0.08039025336283934,0.09999412160233018,0.0002460095791981479,0.001526699944021978,0.0017511204325624669,-0.00022442048854049573,jan23->feb23,1,2023-01-15
8555,0.011643723147393394,0.012416786097951663,0.10098269096007416,0.1250432002054192,0.00013571445598941595,5362,0.012859415348136368,0.010121051535837396,0.09735149866838709,0.12033196555236084,4.697050755683557e-05,47026,0.008997316655496383,0.010388460049138815,0.08728198687197045,0.10666776357660566,0.0004394934127458022,0.004711234653058366,0.0036311922916870687,0.0010800423613712938,feb23->mar23,1,2023-02-15
8545,0.014455733976477961,0.010131598793660887,0.07772535907137926,0.10231269184151809,0.0005721051144312363,5362,0.010521813036351645,0.009983751871483822,0.06836484784989778,0.08887041275773325,0.00015723747669782584,46170,0.0077147721848314366,0.009818135792977597,0.06629939741081668,0.08383230538862574,0.0003261343387512983,0.013442279083784842,0.009360511221481474,0.0040817678623033815,mar23->apr23,1,2023-03-15
8809,0.014747465632237455,0.012075356920656484,0.08768157286555589,0.11450439541844984,0.0003128204488555733,5549,0.008670833528898648,0.012699385396664067,0.07546295940395548,0.09683317832951818,0.0,48339,0.007637234860659128,0.011149211313451037,0.07212039869752598,0.09090684487163615,0.00023459354768208537,0.017671217088931657,0.012218613461600414,0.0054526036273312255,apr23->may23,1,2023-04-15
8833,0.013341022138726047,0.015640452904401754,0.09955989531999312,0.12854137036312094,0.0007395763063646214,5638,0.01031286105431783,0.014306259319151615,0.08234437986920361,0.10696350024267307,1.852080022925262e-05,48622,0.009982879044353032,0.012486594388143096,0.07940739772980902,0.10187687116230516,0.00037991644067450985,0.021577870120447873,0.017215515450789518,0.004362354669658357,may23->jun23,1,2023-05-15
8703,0.013688843288287924,0.016377823511227452,0.0893202792695227,0.11938694606903807,0.0,5615,0.016279228587278902,0.016192918774872434,0.08584138104584595,0.11831352840799729,0.00044128710812067523,48681,0.010430258990220927,0.011954973622240081,0.07609365170794043,0.09847888432040144,0.00046836548939554584,0.0010734176610407847,0.003478898223676752,-0.00240548056263596,jun23->jul23,1,2023-06-15
8866,0.012580225651674253,0.012756558312702452,0.07437232701197924,0.09970911097635593,9.57081191252994e-05,5551,0.010682446925044132,0.011785139164769073,0.0749897420455905,0.0974573281354037,0.00022053623793520796,48337,0.01011640844729708,0.012420651170942664,0.0669924611274584,0.08952952074569813,0.0004942641895858584,0.0022517828409522322,-0.0006174150336112627,0.0028691978745635,jul23->aug23,1,2023-07-15
8986,0.016239333879436334,0.013209851757588946,0.0925352058554713,0.12198439149249658,0.00012856147547480172,5657,0.01423457986493611,0.01707454710091349,0.08299074444735598,0.11429987141320559,0.0002530401774333679,48672,0.013470311529883582,0.012100249126218507,0.0780232435769755,0.10366779676424993,0.0004961840677546759,0.007684520079290991,0.009544461408115323,-0.0018599413288243154,aug23->sep23,1,2023-08-15
9078,0.015581958415068379,0.013493019569941889,0.07079089137453731,0.0998658693595476,0.00025043287713462543,5601,0.01417698544269566,0.010755303663559288,0.07621735208493532,0.10114964119119027,0.0006197427590111871,47448,0.010325745965791529,0.008199998647998532,0.06637572191010144,0.0849014665238915,0.000267066493026529,-0.0012837718316426744,-0.005426460710398012,0.004142688878755322,sep23->oct23,1,2023-09-15
9173,0.012562723191372136,0.01270036780157877,0.08327211818589052,0.10853520917884144,0.00010839881041727455,5795,0.010869305207717913,0.01033173692814969,0.0768405819436285,0.0980416240794961,0.0,48599,0.009964469741862252,0.009928972620561811,0.07590199276286176,0.09579543512528584,0.0004468141497373348,0.010493585099345337,0.006431536242262018,0.0040620488570833006,oct23->nov23,1,2023-10-15
9025,0.012100567997757963,0.010547798722618714,0.08142322622172288,0.10407159294209957,0.000528582128489308,5599,0.007727539425829589,0.009015750136721604,0.08045215503285372,0.09719544459540491,0.00010486251217501175,47305,0.00881580820690155,0.007550726272855942,0.07485147261990603,0.09121800709966352,0.0003679310620726505,0.006876148346694658,0.0009710711888691603,0.005905077157825485,nov23->dec23,1,2023-11-15
8976,0.01821486642766338,0.007604172965330194,0.09029127437538827,0.11611031376838182,0.00032569755276844626,5536,0.011593939114422146,0.007516836848573674,0.07287429562450562,0.09198507158750144,0.00011686366381058869,47331,0.010145866929457235,0.010032940947840715,0.06860182290359261,0.08878063078089059,0.0003526549524161178,0.024125242180880385,0.017416978750882647,0.0067082634299977534,dec23->jan24,1,2023-12-15
8968,0.015964270269998963,0.018141022189411896,0.08518980001585301,0.11929509247526388,0.00038563168917410233,5448,0.008790301877368853,0.016921680187568143,0.07704851579991442,0.10276049786485143,4.2324128506244745e-05,46754,0.010510679450615857,0.013650046019440473,0.06979157539474913,0.09395230086480547,0.0007126616990855614,0.016534594610412442,0.008141284215938585,0.008393310394473864,jan24->feb24,1,2024-01-15
9332,0.013943384209078192,0.012968953838555095,0.10793280152827164,0.13484513957590494,0.00015705450013389158,5506,0.010349454780913505,0.009130063933218684,0.11110208439732402,0.13058160311145622,0.0004450366441517156,47567,0.009020469886737876,0.01157239340600246,0.093916207510196,0.11450907080293633,0.00037720696144120616,0.004263536464448714,-0.003169282869052381,0.0074328193335010985,feb24->mar24,1,2024-02-15
8973,0.014660938857848495,0.008986902344496568,0.07894338711334832,0.10259122831569337,0.00042343255417418116,5352,0.009715909699984891,0.006598981590078598,0.06942298504381805,0.08573787633388154,0.0005089041325753899,45319,0.008441980570798504,0.008732735735695683,0.06118337242838228,0.07835808873487647,0.00020120304845389785,0.01685335198181183,0.009520402069530268,0.007332949912281574,mar24->apr24,1,2024-03-15
9181,0.013085933393363195,0.013781929891834887,0.07571859602665265,0.10258645931185073,0.00045506736578120917,5746,0.011386670352410071,0.016417167911678916,0.07668994258751057,0.10449378085159954,0.00022748711629573602,47300,0.00895304867483965,0.011325480863710007,0.06791056101196692,0.08818909055051657,0.0004720846130377821,-0.0019073215397488047,-0.0009713465608579136,-0.000935974978890905,apr24->may24,1,2024-04-15
