pair,raw_u_f,raw_u_s,raw_m_f,raw_m_s,raw_n_fb_adults,raw_n_sg_adults,raw_n_mig_f,raw_n_mig_s,gross_e,gross_e_dur,raw_gross_e,gross_se_full,gross_se_fixed,ret_ratio,net_e,fb_stock,n_fb_all
2019->2020,0.3624696800355384,0.33333758531447827,0.10029670798339355,0.11013103353367125,6577,4084,5822,3841,0.05409015063425039,0.050491342321908494,0.04320678336846168,0.02087654083207464,0.0010944267937011043,0.004637535294181922,0.04945261534006847,45820155.12,6899
2020->2021,0.2764525766833507,0.2883269242384862,0.09776520387523309,0.08783214990369011,5311,3538,6072,3955,-0.02726764474937392,-0.024592083352741847,-0.024055706288303058,0.016748377024655654,0.0009831089710379643,0.0017640134878487278,-0.02903165823722265,44907415.92,5538
2021->2022,0.332208138075193,0.3207425322161311,0.10493236783801162,0.10827964409807189,5477,3492,5530,3531,0.03172301013184249,0.03208259369844598,0.01651201361005254,0.020269212772742413,0.0011116237618310455,0.0032964372083599635,0.028426572923482527,44799064.510000005,5733
2022->2023,0.3322556151722296,0.3263394398843249,0.09326081861956322,0.08706601179871945,5471,3616,5339,3458,0.0017004556640196687,0.004329552739855828,-0.0002312689520827267,0.019373285767295873,0.0010659229940773837,0.002177371076588961,-0.00047691541256929216,46855783.870000005,5716
2023->2024,0.3487485310186759,0.35168747589473554,0.10822042530272413,0.08970492987401499,5876,3666,5609,3408,-0.0077940358543018,-0.01201623133781207,-0.023842055976888172,0.020362241787944556,0.001625902566414606,0.0037492416574257605,-0.01154327751172756,48777673.99,6130
2024->2025,0.34909812973431836,0.33722059652345354,0.09615810481867958,0.11107237807713657,6214,3666,6054,3626,0.051359993483536634,0.053039454660665446,0.02947873869067067,0.018427892636336235,0.001334811094945001,0.004031325072536519,0.04732866841100011,51276742.3,6545
