date,mis_group,fb_share,n_adults,typea_rate_all
2025-04-15,mis6_8,0.18691,30997,0.27524
2025-05-15,mis1,0.16990,10064,0.28068
2025-05-15,mis2_4,0.17579,29280,0.28491
2025-05-15,mis5,0.18724,9853,0.27098
2025-05-15,mis6_8,0.18362,30241,0.28061
2025-06-15,mis1,0.16440,9592,0.29498
2025-06-15,mis2_4,0.17227,29559,0.28434
2025-06-15,mis5,0.18279,9775,0.28967
2025-06-15,mis6_8,0.18557,29909,0.27419
2025-07-15,mis1,0.17130,9899,0.29592
2025-07-15,mis2_4,0.17227,29725,0.28645
2025-07-15,mis5,0.17670,9728,0.28844
2025-07-15,mis6_8,0.17936,29308,0.27896
2025-08-15,mis1,0.17077,10477,0.25519
2025-08-15,mis2_4,0.17108,31081,0.26737
2025-08-15,mis5,0.17713,10086,0.26868
2025-08-15,mis6_8,0.18106,30242,0.26432
2025-09-15,mis1,0.16742,10181,0.26426
2025-09-15,mis2_4,0.17065,30788,0.27122
2025-09-15,mis5,0.17609,9838,0.28181
2025-09-15,mis6_8,0.18136,30376,0.26454
2025-11-15,mis1,0.17576,9277,0.32234
2025-11-15,mis2_4,0.17016,28852,0.31025
2025-11-15,mis5,0.17216,9265,0.31531
2025-11-15,mis6_8,0.18027,28573,0.30294
2025-12-15,mis1,0.16532,9062,0.33663
2025-12-15,mis2_4,0.17043,28904,0.30771
2025-12-15,mis5,0.18357,9277,0.32771
2025-12-15,mis6_8,0.18242,28817,0.29650
2026-01-15,mis1,0.17089,9211,0.33275
2026-01-15,mis2_4,0.17170,28699,0.31157
2026-01-15,mis5,0.19114,9090,0.31848
2026-01-15,mis6_8,0.18498,28847,0.29430
2026-02-15,mis1,0.17162,9494,0.30961
2026-02-15,mis2_4,0.17066,29714,0.29027
2026-02-15,mis5,0.17831,9209,0.31222
2026-02-15,mis6_8,0.18641,29065,0.28575
2026-03-15,mis1,0.17408,9309,0.32244
2026-03-15,mis2_4,0.17603,28946,0.30298
2026-03-15,mis5,0.18253,8854,0.34080
2026-03-15,mis6_8,0.18349,27869,0.30515
2026-04-15,mis1,0.17202,9448,0.28636
2026-04-15,mis2_4,0.17573,30173,0.28125
2026-04-15,mis5,0.17977,9761,0.29945
2026-04-15,mis6_8,0.18392,28549,0.29184
2026-05-15,mis1,0.16914,9484,0.28882
2026-05-15,mis2_4,0.17960,30248,0.27424
2026-05-15,mis5,0.17469,9841,0.29281
2026-05-15,mis6_8,0.17654,28978,0.28771
