pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock
2023->2024,SC,79,71,-0.013556744097335992,-0.02091919117207347,0.3547597562902053,0.3481444548895423,410427.62
2023->2024,SD,20,18,-0.009398292562465514,0.0013740314828323108,0.8793453663856144,0.869342155613053,27551.11
2023->2024,TN,29,28,-0.01137877073161558,-0.016670130184137537,0.4482444241165491,0.45616926866560686,356498.85
2023->2024,TX,526,505,-0.013866232001633285,-0.01656303396870071,0.41637930849588056,0.42081758465863894,5658604.699999999
2023->2024,UT,70,65,-0.0558484099226041,-0.06309225552975517,0.45530120890927783,0.46989390656408947,297388.68
2023->2024,VT,31,29,-0.013946198041773189,-0.019252642012517477,0.37379531626358,0.3464117066265327,26162.390000000003
2023->2024,VA,147,140,-0.02385014923492895,-0.02989710147652155,0.4862530531292561,0.4725371930184679,1160882.19
2023->2024,WA,116,108,-0.012525394241691403,-0.02013396207233577,0.40632526658793616,0.377045207596959,1040329.38
2023->2024,WV,9,9,-0.06264066668646757,-0.07777758659019189,0.5942606703521092,0.5942606703521092,20745.450000000008
2023->2024,WI,24,22,-0.010936578704864027,0.004270449164270863,0.027364404398572805,0.028645852353372234,290064.92999999993
2023->2024,WY,13,13,-0.015463631794932672,-0.021975200259071,0.26776716784520044,0.26776716784520044,8306.38
2024->2025,AL,39,36,0.04611639755750787,0.0517568585250658,0.2944844760180635,0.32043988281439717,195516.27000000002
2024->2025,AK,48,45,0.07976096686815892,0.07530740945329915,0.6542820326517721,0.6354919806485297,55972.1
2024->2025,AZ,144,139,0.05499134510340717,0.057709449441958716,0.3592868940109954,0.3682536576555807,1282957.7399999998
2024->2025,AR,26,24,0.05754404404286757,0.04974733253617283,0.5118673068834435,0.46618762523645213,167465.87
2024->2025,CA,1283,1237,0.05921894250061926,0.05448575286872672,0.2902945578275177,0.2869068196426028,11121481.29
2024->2025,CO,72,68,0.05759089101891661,0.07484252872371033,0.3892032389824321,0.40126747867265977,626190.07
2024->2025,CT,92,87,0.04515810012289603,0.0657842068492055,0.4424134788746543,0.4089730567117195,584512.6
2024->2025,DE,43,43,0.07376321049559659,0.06884385414105818,0.39753896892359336,0.39753896892359336,115121.02
2024->2025,DC,93,87,0.027567245036949607,0.02615072680018641,0.4935583862529515,0.48050791781547175,82759.62
2024->2025,FL,470,444,0.05405335080141221,0.05888136572410263,0.31578511789981417,0.31420110126555134,5306640.52
2024->2025,GA,141,136,0.04644869676374619,0.06797956509895012,0.43547916211833565,0.4270734712181158,1388864.33
2024->2025,HI,130,126,0.06646116330870994,0.06120891769209087,0.3205847060538674,0.30763590411311426,244507.23
2024->2025,ID,72,69,0.06509603956962541,0.06821469916618136,0.45735200893250777,0.46393110063117526,130527.32
2024->2025,IL,192,188,0.053644875452212734,0.048262835862708034,0.36683880660665774,0.35714247106084523,1878222.79
2024->2025,IN,63,56,0.030793830279528936,0.030389023844378,0.34749363062122773,0.34461121595748584,523753.65
2024->2025,IA,44,40,0.05422781117854991,0.06313611452338988,0.1907749448231616,0.21449177606053887,215735.99
2024->2025,KS,60,53,0.060532484319422646,0.06614921169318531,0.46304365723570734,0.437219831064685,242482.44
2024->2025,KY,19,16,0.06885149813764796,0.11541041683075254,0.6669833523712047,0.6727641022304821,294694.27
2024->2025,LA,54,47,0.04213010205133651,0.057833563530904686,0.5210293158298585,0.458490174618752,300349.92
2024->2025,ME,9,9,0.06223820945744133,0.05592083394629018,0.46835036669753916,0.46835036669753916,41316.28
2024->2025,MD,115,104,0.03593531445598561,0.04073051177388232,0.5120056969625801,0.48354721550916485,1178399.04
2024->2025,MA,226,214,0.035932458827818925,0.03406965700199504,0.33772020967157634,0.3418351315321347,1392064.35
2024->2025,MI,100,98,0.04428023327039999,0.044637124845569455,0.2813611247880081,0.2900154892141508,888926.26
2024->2025,MN,65,59,0.04940326471221097,0.07643883413116875,0.5399781418353309,0.528925168651949,510597.54999999993
2024->2025,MS,8,8,0.04067215392567516,0.10399479353101516,0.5265738012041687,0.5265738012041687,79737.92999999998
2024->2025,MO,46,46,0.035227059715384784,0.02274532625599019,0.3878771870131267,0.3878771870131267,313757.8399999999
2024->2025,MT,31,29,0.03752372664468224,0.058313801346730004,0.47967114379897546,0.45264386417624847,24725.97
2024->2025,NE,63,59,0.03251213757073896,0.02768498484554866,0.38862577207082766,0.40303501406790054,201956.5
2024->2025,NV,134,129,0.06117135844983263,0.06414371968513922,0.2580054620262972,0.23803043643235797,634932.18
2024->2025,NH,40,40,0.04203945948742737,0.044918438581496405,0.33638978231149674,0.33638978231149674,90124.86999999998
2024->2025,NJ,266,249,0.04591316644817199,0.04273526545865681,0.4083364162029187,0.42001259269053476,2372008.7
2024->2025,NM,67,59,0.05175397163632534,0.06939046754846251,0.2646046327023893,0.2968151890229468,214849.91999999998
2024->2025,NY,420,407,0.05341894196093566,0.050066526595386074,0.24580090011138916,0.2508395569575819,4384786.43
2024->2025,NC,124,115,0.0366302514440345,0.04296228692945367,0.36455138190777914,0.3746512327515566,1206807.79
2024->2025,ND,37,34,0.047142558548630885,0.07835479231046528,0.4119729669084022,0.4148982477823813,35228.68
2024->2025,OH,71,65,0.03534708084657271,0.04868074169812745,0.26247356195685084,0.27291259231727577,751230.97
2024->2025,OK,44,44,0.07701443765633402,0.08389230063754591,0.43373183187735703,0.43373183187735703,319304.23
2024->2025,OR,84,77,0.028939250458582602,0.03538643557206437,0.4065330080046365,0.4112977504675238,452847.28
2024->2025,PA,130,124,0.03724571267391607,0.044164828374679554,0.3310335790279806,0.3339910304069494,1274179.2799999998
2024->2025,RI,58,56,0.06815937825683285,0.05334153013661235,0.3508060422971323,0.33025886979872426,167684.84
2024->2025,SC,74,69,0.0622369459935986,0.07569086350106256,0.3809193700473429,0.3540667774507461,410365.31
2024->2025,SD,11,11,0.06468565288180654,0.04125064049521337,0.7223225938009787,0.7223225938009787,19539.890000000003
2024->2025,TN,70,68,0.04062930932188751,0.032053167803434306,0.4543123253029136,0.43885728390124407,453418.57000000007
2024->2025,TX,660,622,0.05814152349017973,0.06132175409713467,0.44024981299562216,0.4274220572098078,5946207.619999999
2024->2025,UT,90,82,0.05857121341029256,0.07843256350991133,0.41986992791253175,0.3892854792471353,333500.54
2024->2025,VT,44,42,0.04295762258174176,0.02642825317903036,0.38709206229902254,0.36680904741637904,30523.079999999998
2024->2025,VA,122,114,0.037076855428250594,0.021619678313466145,0.4890453010272973,0.49931024085810993,1248125.3599999999
2024->2025,WA,169,162,0.039378908050253215,0.04656428735658542,0.3108288106877708,0.3094351179847628,1223631.3499999999
2024->2025,WV,23,23,0.02928603670721386,0.025196869615192692,0.46567236450919247,0.46567236450919247,21116.980000000003
2024->2025,WI,28,25,0.06794585360788874,0.07127473125843459,0.3723100778620115,0.3091126693909233,278409.72
2024->2025,WY,31,30,0.0410021665789171,0.042990974059537716,0.2572320403823562,0.2621415532977441,18681.950000000004
