extra_months,last_window,post_windows,power_at_-15pct,power_at_-30pct,mde_pct
0,2026-03,7,0.3609022556390977,0.9924812030075187,-22.75
6,2026-09,13,0.45864661654135336,0.9774436090225563,-22.695652173913047
12,2027-03,19,0.48872180451127817,0.9774436090225563,-21.04761904761905
18,2027-09,25,0.5714285714285714,1.0,-20.631578947368425
